,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RoadName,Direction,Roadtype,Shape_Leng,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SPEED,Shape_Le_2
10,42329.20775193798,67.61870699113558,2.6253108724373204,0.03905255264273445,2.679458400381082,1.6365546956377528,0.6025277116190212,38532.60835913313,67.97348613422292,3.31506599810885,0.04930963763058334,4.077227635082067,2.7307867429302757,0.6570255484847027,7997_8466,14.0,10.0,4.0,11,2,11,1,11,1,11,12,1,10,12,417,FL-417 N,N,Freeway,0.8013759665989999,0.0131463405758,7997,8466,E,2,45451,4,417,49500,45451,70,0,70.0,0.0131463405758
11,38367.478125,63.64854489858412,4.15756914312933,0.06553947517960818,3.7271971870855496,2.3372696629564893,0.6263936922991109,42143.48222565688,69.07726734191465,2.5719349386190866,0.0373960829944916,2.9159633998572727,1.776332845668806,0.6075930448346093,6167_9178,8.0,4.0,4.0,12,2,12,1,12,1,12,13,1,11,13,417,FL-417 N,N,Freeway,0.547156182605,0.00898604631428,6167,9178,E,2,45451,4,417,49500,45451,70,0,70.0,0.00898604631428
12,38532.60835913313,67.97348613422292,3.31506599810885,0.04930963763058334,4.077227635082067,2.7307867429302757,0.6570255484847027,38525.69598765432,69.52388531325944,3.5443348255223244,0.051308048741907135,5.682683564922018,3.8415737087358814,0.6733434009237141,8466_7095,21.0,13.0,8.0,13,2,13,1,13,1,13,14,1,12,14,417,FL-417 N,N,Freeway,0.688650772198,0.011304868478000002,8466,7095,E,2,65863,4,417,49500,45451,70,0,70.0,0.011304868478000002
13,38525.69598765432,69.52388531325944,3.5443348255223244,0.051308048741907135,5.682683564922018,3.8415737087358814,0.6733434009237141,37475.78139534884,67.57941776842229,3.4022266391808493,0.05052689984659276,3.564274050353076,2.166166871005763,0.6066269527647947,7095_6630,9.0,4.0,5.0,14,2,14,1,14,1,14,15,1,13,15,417,FL-417 N,N,Freeway,0.6736957233230001,0.0110572717426,7095,6630,E,2,65863,4,417,49500,45451,70,0,70.0,0.0110572717426
14,25461.083850931678,70.56046082550678,3.1746661532475566,0.04504881380410238,3.198388059584502,1.939463222211241,0.6069324914665991,25461.083850931678,70.56046082550678,3.1746661532475566,0.04504881380410238,3.198388059584502,1.939463222211241,0.6069324914665991,6854_11007,2.0,2.0,0.0,15,2,15,1,15,1,15,16,1,14,16,417,FL-417 N,N,Freeway,0.272210839005,0.004467505473199999,6854,11007,E,2,65863,4,417,47407,65863,70,0,70.0,0.004467505473199999
15,37475.78139534884,67.57941776842229,3.4022266391808493,0.05052689984659276,3.564274050353076,2.166166871005763,0.6066269527647947,38387.810852713184,67.37878342772693,2.7582635575457464,0.041037349962352684,3.9814825630679684,2.4403808180167887,0.6130016031102885,6630_6324,2.0,1.0,1.0,16,2,16,1,16,1,16,17,1,15,17,417,FL-417 N,N,Freeway,0.401870986958,0.00659570949786,6630,6324,E,2,65863,4,417,49500,65863,70,0,70.0,0.00659570949786
16,38387.810852713184,67.37878342772693,2.7582635575457464,0.041037349962352684,3.9814825630679684,2.4403808180167887,0.6130016031102885,25461.083850931678,70.56046082550678,3.1746661532475566,0.04504881380410238,3.198388059584502,1.939463222211241,0.6069324914665991,6324_6854,7.0,6.0,1.0,17,2,17,1,17,1,17,18,1,16,18,417,FL-417 N,N,Freeway,0.514529769133,0.00844521123645,6324,6854,E,2,65863,4,417,49500,65863,70,0,70.0,0.00844521123645
17,31851.952012383903,73.80452761404312,2.2821156267586264,0.03098611959765392,2.0181661982223793,1.346854955138996,0.6659021591865791,31729.772797527046,73.04239874477359,2.4518449706980188,0.03368589472354043,2.7433415722863295,1.879575448609814,0.6805636164499778,8476_8600,4.0,4.0,0.0,18,2,18,1,18,1,18,19,1,17,19,417,FL-417 N,N,Freeway,0.329413811758,0.00533047631599,8476,8600,E,2,65863,4,417,45500,65863,70,0,70.0,0.00533047631599
18,31244.047308319736,68.77140496614325,2.500155672271688,0.03639637341191849,1.8949803832461132,1.2494403539888546,0.6597723910002161,31851.952012383903,73.80452761404312,2.2821156267586264,0.03098611959765392,2.0181661982223793,1.346854955138996,0.6659021591865791,11010_8476,0.0,0.0,0.0,19,2,19,1,19,1,19,20,1,18,20,417,FL-417 N,N,Freeway,0.188568839724,0.0030732914005,11010,8476,E,2,65863,4,417,47407,65863,70,0,70.0,0.0030732914005
19,25461.083850931678,70.56046082550678,3.1746661532475566,0.04504881380410238,3.198388059584502,1.939463222211241,0.6069324914665991,27682.752921535888,72.04656117367097,2.404888943314417,0.03361048211733855,2.371347046664628,1.6390585519079943,0.6628905154095919,11007_8480,4.0,2.0,2.0,20,2,20,1,20,1,20,21,1,19,21,417,FL-417 N,N,Freeway,0.282986482645,0.00462481575223,11007,8480,E,2,65863,4,417,47407,65863,70,0,70.0,0.00462481575223
