,period,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RoadName,Direction,Roadtype,Shape_Leng,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SPEED,Shape_Le_2
0,0,17868.508620689656,65.03957212361374,1.8909502294756224,0.029099540648091508,1.2251819764597385,0.8584537457623684,0.6980763342773103,8610.586353944564,63.95091679820117,3.173477615097497,0.050049153554994334,1.85206744635808,1.0970554097494534,0.5822996142568941,8581_7010,6.0,4.0,2.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
1,1,10436.454545454546,65.8814393646211,1.1848496829205235,0.018006472067935157,2.9484623042358598,0.7166120885366478,0.2453421637999301,5099.655246252677,63.46660672511393,1.9008536797681412,0.02997470837692296,3.7552382185505597,0.7688650573046962,0.20606138090537715,8581_7010,4.0,4.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
2,2,18790.060475161987,54.79485355360103,10.755696829281566,0.2396521148925612,10.395915100301671,6.517449573781687,0.5406191154502389,9895.916488222698,49.116732254066385,10.3309312302719,0.2229703578096784,11.519290999138384,5.5015235656751535,0.4727868484738244,8581_7010,8.0,7.0,1.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
3,3,35195.924568965514,64.20286085993327,1.955570271637468,0.03136779617443965,4.546020200090258,1.107511674934862,0.2250852314890367,16911.170575692962,60.044255027598744,2.7535913152289067,0.047351234549250616,5.171951166336426,1.332143966537207,0.2415839161097163,8581_7010,6.0,5.0,1.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
4,0,8610.586353944564,63.95091679820117,3.173477615097497,0.050049153554994334,1.85206744635808,1.0970554097494534,0.5822996142568941,8769.824411134903,65.37840122930653,2.72104227380784,0.04179927616938425,1.8394647300564344,1.2381658095583945,0.6490451565420344,7010_6916,1.0,1.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
5,1,5099.655246252677,63.46660672511393,1.9008536797681412,0.02997470837692296,3.7552382185505597,0.7688650573046962,0.20606138090537715,5070.894623655914,65.08807039115979,1.3692531940675567,0.02103854316168373,3.9899052736940575,0.9126596575675268,0.2305265641232797,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
6,2,9895.916488222698,49.116732254066385,10.3309312302719,0.2229703578096784,11.519290999138384,5.5015235656751535,0.4727868484738244,9315.675965665236,44.37311290531513,15.59143690299799,0.3944192036169185,19.090436357210315,11.220760183174733,0.6017558932270187,7010_6916,9.0,8.0,1.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
7,3,16911.170575692962,60.044255027598744,2.7535913152289067,0.047351234549250616,5.171951166336426,1.332143966537207,0.2415839161097163,16990.25053533191,62.62369507052443,2.883544900442832,0.048779906598766534,6.317383255226897,1.8969544423792133,0.2636233039465333,7010_6916,2.0,2.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
8,0,8769.824411134903,65.37840122930653,2.72104227380784,0.04179927616938425,1.8394647300564344,1.2381658095583945,0.6490451565420344,8868.90364025696,73.68620664979423,2.3507980475175243,0.032017905007743215,2.583612537136727,1.7913475177003342,0.6866350166825844,6916_6959,1.0,1.0,0.0,3,2,3,1,3,1,3,4,1,2,4,417,FL-417 N,N,Freeway,0.5583604258389999,0.00910996722065,6916,6959,E,2,45451,4,417,69500,45451,70,0,70.0,0.00910996722065
9,1,5070.894623655914,65.08807039115979,1.3692531940675567,0.02103854316168373,3.9899052736940575,0.9126596575675268,0.2305265641232797,5113.3125,74.15876778151394,1.3797324410651282,0.0188157542384137,6.035410316744832,1.4958514248244386,0.2460739183453577,6916_6959,1.0,1.0,0.0,3,2,3,1,3,1,3,4,1,2,4,417,FL-417 N,N,Freeway,0.5583604258389999,0.00910996722065,6916,6959,E,2,45451,4,417,69500,45451,70,0,70.0,0.00910996722065
10,2,9315.675965665236,44.37311290531513,15.59143690299799,0.3944192036169185,19.090436357210315,11.220760183174733,0.6017558932270187,9394.060085836909,56.84935051065012,13.481317790449026,0.2513715382295276,17.499920397194394,7.277093068355282,0.4154538065578169,6916_6959,5.0,2.0,3.0,3,2,3,1,3,1,3,4,1,2,4,417,FL-417 N,N,Freeway,0.5583604258389999,0.00910996722065,6916,6959,E,2,45451,4,417,69500,45451,70,0,70.0,0.00910996722065
11,3,16990.25053533191,62.62369507052443,2.883544900442832,0.048779906598766534,6.317383255226897,1.8969544423792133,0.2636233039465333,17171.963597430407,71.32561285856565,3.4135485229743447,0.0504777569971885,9.540690005823222,2.381032873656337,0.2359088935387966,6916_6959,0.0,0.0,0.0,3,2,3,1,3,1,3,4,1,2,4,417,FL-417 N,N,Freeway,0.5583604258389999,0.00910996722065,6916,6959,E,2,45451,4,417,69500,45451,70,0,70.0,0.00910996722065
12,0,4442.599147121535,71.00279872580286,2.5813398098980684,0.036381988176480834,1.4133313934725285,0.9777781265378706,0.6829607744638989,17868.508620689656,65.03957212361374,1.8909502294756224,0.029099540648091508,1.2251819764597385,0.8584537457623684,0.6980763342773103,6044_8581,0.0,0.0,0.0,4,2,4,1,4,1,4,5,1,3,5,417,FL-417 N,N,Freeway,0.345284698189,0.00565710787821,6044,8581,E,2,45451,4,417,43569,45451,65,109,65.0,0.00565710787821
13,1,3576.643162393162,73.05241696842556,1.163948166529126,0.01595793463766737,4.4332890450498,1.00546846157106,0.23021737145694174,10436.454545454546,65.8814393646211,1.1848496829205235,0.018006472067935157,2.9484623042358598,0.7166120885366478,0.2453421637999301,6044_8581,0.0,0.0,0.0,4,2,4,1,4,1,4,5,1,3,5,417,FL-417 N,N,Freeway,0.345284698189,0.00565710787821,6044,8581,E,2,45451,4,417,43569,45451,65,109,65.0,0.00565710787821
