,day,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RoadName,Direction,Roadtype,Shape_Leng,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SPEED,Shape_Le_2
18,4,43698.77659574468,60.698447718694496,10.83196539520648,0.18137720558911674,6.437019558831737,7.864175085946817,1.1817206096009751,44135.585106382976,69.72334580385218,9.604107217777113,0.1399153355638225,7.985293084313,6.747164106164846,0.8377332650432703,6916_6959,0.0,0.0,0.0,3,2,3,1,3,1,3,4,1,2,4,417,FL-417 N,N,Freeway,0.5583604258389999,0.00910996722065,6916,6959,E,2,45451,4,417,69500,45451,70,0,70.0,0.00910996722065
19,5,41672.87912087912,63.86809390834024,3.6118464089854996,0.05726556492203415,3.960574910095055,2.821151294809988,0.6830469063057238,42092.858695652176,72.88520210112752,3.9393253524800858,0.05483102644486911,5.917686624481367,3.9849672186948815,0.6635226797152913,6916_6959,1.0,0.0,1.0,3,2,3,1,3,1,3,4,1,2,4,417,FL-417 N,N,Freeway,0.5583604258389999,0.00910996722065,6916,6959,E,2,45451,4,417,69500,45451,70,0,70.0,0.00910996722065
20,6,39675.36046511628,63.77813176141325,4.870614660515831,0.07770032716374213,3.9397699549272884,3.592892670671518,0.8658440832298865,40091.02298850575,72.8122899383953,5.453116739812267,0.07617642720693726,5.702701622734045,4.6621952379569445,0.8002952648946141,6916_6959,0.0,0.0,0.0,3,2,3,1,3,1,3,4,1,2,4,417,FL-417 N,N,Freeway,0.5583604258389999,0.00910996722065,6916,6959,E,2,45451,4,417,69500,45451,70,0,70.0,0.00910996722065
21,0,23693.776595744683,70.89997340632223,5.449220399033039,0.07863022041115844,4.14642032563551,4.247688926761598,0.9397602580879574,79680.36559139784,63.921934469274674,5.265394036183335,0.08399974280780223,3.3922405440593333,3.803748286604912,1.0174620656513391,6044_8581,0.0,0.0,0.0,4,2,4,1,4,1,4,5,1,3,5,417,FL-417 N,N,Freeway,0.345284698189,0.00565710787821,6044,8581,E,2,45451,4,417,43569,45451,65,109,65.0,0.00565710787821
22,1,22735.33333333333,70.95454365640671,5.0889758721167855,0.07316356835994049,3.917241250710628,3.8811532520241983,0.914525914191732,77324.35789473684,64.14356996375861,4.815287491430358,0.07665854624873791,3.16440327929896,3.4938625087175104,1.0192008224581075,6044_8581,0.0,0.0,0.0,4,2,4,1,4,1,4,5,1,3,5,417,FL-417 N,N,Freeway,0.345284698189,0.00565710787821,6044,8581,E,2,45451,4,417,43569,45451,65,109,65.0,0.00565710787821
23,2,23462.810526315792,70.65428301203859,5.689554537445189,0.08201095375727767,4.164142853432499,4.257925084309113,0.9497998146130744,80123.53191489361,63.65532639451219,5.993532929288191,0.09584164541820046,3.489045217774858,4.120203366254311,1.0959914302894966,6044_8581,0.0,0.0,0.0,4,2,4,1,4,1,4,5,1,3,5,417,FL-417 N,N,Freeway,0.345284698189,0.00565710787821,6044,8581,E,2,45451,4,417,43569,45451,65,109,65.0,0.00565710787821
24,3,24407.13333333333,70.28479207987098,7.050952516676928,0.10215710112728768,4.5588135019094445,5.102235007157064,1.0410805332830633,82308.96629213484,63.26938448117213,7.013803942709307,0.11263256109505874,3.7586470621314447,4.752058949092079,1.1796483990768265,6044_8581,0.0,0.0,0.0,4,2,4,1,4,1,4,5,1,3,5,417,FL-417 N,N,Freeway,0.345284698189,0.00565710787821,6044,8581,E,2,45451,4,417,43569,45451,65,109,65.0,0.00565710787821
25,4,27163.914893617017,70.1625689485598,6.793976335225956,0.09952459207551806,4.939851376987085,4.971742456532062,0.9349760640319956,91721.9247311828,63.0699956425705,6.643244980332844,0.10780161579730634,4.003940581173043,4.3289262237300425,1.008841169459911,6044_8581,0.0,0.0,0.0,4,2,4,1,4,1,4,5,1,3,5,417,FL-417 N,N,Freeway,0.345284698189,0.00565710787821,6044,8581,E,2,45451,4,417,43569,45451,65,109,65.0,0.00565710787821
26,5,25111.206521739125,71.86447494760388,2.631625265599189,0.03677723467720477,3.4972924578523146,2.426431883729728,0.6852722285431335,87935.34065934065,64.91045701456106,2.1068620135748817,0.0326404548837393,2.763182505833369,1.8276314608829052,0.6537535440172726,6044_8581,1.0,1.0,0.0,4,2,4,1,4,1,4,5,1,3,5,417,FL-417 N,N,Freeway,0.345284698189,0.00565710787821,6044,8581,E,2,45451,4,417,43569,45451,65,109,65.0,0.00565710787821
27,6,23078.586206896547,72.09448107070233,3.0168570188525874,0.042118313953319934,3.118205074584127,2.5810999327717794,0.8171449796009319,78453.97674418606,64.94288481421708,2.56562149087794,0.039882591875783684,2.5727742676104186,2.043564176833672,0.7785339583818306,6044_8581,0.0,0.0,0.0,4,2,4,1,4,1,4,5,1,3,5,417,FL-417 N,N,Freeway,0.345284698189,0.00565710787821,6044,8581,E,2,45451,4,417,43569,45451,65,109,65.0,0.00565710787821
