,count,mean,std,min,25%,50%,75%,max
TotalCrashes,8112.0,0.05368589743589743,0.17498957880331867,0.0,0.0,0.0,0.0,2.0
Miles,8112.0,0.5824565333347929,0.4271280676160115,0.10719335292000001,0.326546594974,0.467801745756,0.688650772198,3.1609442605
LaneNumber,8112.0,0.47928994082840237,0.6210582231088182,0.0,0.0,0.0,1.0,2.0
RuralUrban,8112.0,0.9319526627218935,0.2518426409410035,0.0,1.0,1.0,1.0,1.0
SpeedLimit,8112.0,66.89349112426035,5.041022399682134,55.0,65.0,70.0,70.0,70.0
IRI,8112.0,57.60650887573964,36.92802393289051,0.0,44.0,57.0,77.0,182.0
AvgVolume,8112.0,1384.9724440369669,919.7781918424433,43.32954545454545,586.5760566614763,1293.7926142377487,2000.2005068319254,4955.503555194806
AvgSpeed,8112.0,68.90837907252497,4.818492275187026,53.97630189871367,65.90952185315649,68.99306703172448,71.78376884064835,104.25190084560626
StdSpeed,8112.0,1.7089464191004906,0.6717834478683987,0.7656895232446279,1.256702040538412,1.4989489113491252,1.9423853436175957,6.400000936280801
CoefOfVarSpeed,8112.0,0.0252140784887204,0.010372457395045562,-0.11132176055108232,0.018380599392462005,0.022388182159013875,0.029088249752638497,0.09976003465543824
AvgOccupancy,8112.0,2.5413922688252817,1.6741651505589579,0.11490403597328107,1.0449947686477183,2.406397521873175,3.783244412107105,10.442210233867332
StdOccupancy,8112.0,0.42320829200021126,0.18862015418893954,0.12050169405699147,0.29257904095638304,0.3957066481224211,0.5148785262978081,1.8907285835499668
CoefOfVarOccupancy,8112.0,0.26050364372676127,0.20195519967323602,0.0774764804941476,0.13340315307816347,0.18164516024346583,0.3116342551270213,1.7278992303804444
