,hour,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RouteId,Direction,Roadtype,Miles,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SpeedLimit,Shape_Le_2,RuralUrban,AvgVolume,AvgSpeed,StdSpeed,CoefOfVarSpeed,AvgOccupancy,StdOccupancy,CoefOfVarOccupancy,LogVolume,LogSegLength,LaneNumber
10,10,2261.631284916201,64.34887151926992,0.9655209312556604,0.015139177962261382,3.440346214893222,0.4460471750383708,0.13146740795867007,4612.458100558659,67.94959061216046,0.8985786714728294,0.013317730856945771,5.094949528538911,0.6501576221461451,0.12951736182121454,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,3437.0446927374296,66.14923106571518,0.9320498013642449,0.014228454409603577,4.267647871716067,0.548102398592258,0.1304923848899423,8.142367280180311,-0.8500748911021124,1
11,11,2374.536312849162,64.42710828634597,0.9298621108251448,0.014549847883455966,3.6441550195252077,0.3818358381120289,0.1044454178885677,4852.1843575419,68.01735612308241,0.9082975913183612,0.013437419394477448,5.393645620880258,0.5550241844032623,0.1031982166823382,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,3613.3603351955308,66.22223220471419,0.919079851071753,0.013993633638966708,4.518900320202732,0.4684300112576456,0.10382181728545295,8.192393459137698,-0.8500748911021124,1
12,12,2478.558659217877,64.42977181275657,0.8892249042613578,0.013860630988717492,3.8248918142267527,0.3942813895370166,0.10346260985220916,5054.441340782123,67.9229098312199,0.9319065869949366,0.013782757752187073,5.643255446188407,0.5749256852156384,0.10229779256571138,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,3766.5,66.17634082198823,0.9105657456281472,0.013821694370452282,4.73407363020758,0.48460353737632744,0.10288020120896027,8.23390146726575,-0.8500748911021124,1
13,13,2453.776536312849,64.47540994606871,0.8737579256940515,0.013646061756066969,3.786430199387083,0.3683557107068834,0.09798548245330208,5027.810055865923,67.94603654931875,0.99744727871464,0.015003200253647122,5.623932192367948,0.6074351939881395,0.10262955574501552,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,3740.793296089386,66.21072324769372,0.9356026022043458,0.014324631004857046,4.705181195877516,0.4878954523475114,0.1003075190991588,8.227052979170013,-0.8500748911021124,1
14,14,2357.8156424581007,64.48809941080061,1.0659711967788852,0.016744995209836425,3.6296461108292526,0.37986061938352017,0.1051278260439958,4809.949720670391,68.00491893529605,1.0871981201017098,0.016208943465212452,5.3907961632821975,0.592332969978944,0.10875829847290122,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,3583.882681564246,66.24650917304834,1.0765846584402974,0.01647696933752444,4.510221137055725,0.4860967946812321,0.10694306225844852,8.184202039620507,-0.8500748911021124,1
15,15,2297.40782122905,64.45992079335247,0.9872834426808454,0.015587084228451297,3.4916663023306604,0.3610934444680232,0.10427428294400663,4709.324022346369,68.02180655316128,0.9919280711151802,0.014837442955760663,5.1935732020927565,0.5335914362937342,0.10289077129022828,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,3503.3659217877093,66.24086367325688,0.9896057568980128,0.015212263592105979,4.342619752211709,0.44734244038087867,0.10358252711711746,8.161479477287418,-0.8500748911021124,1
16,16,2319.994413407821,64.49929613086371,0.9888572552212024,0.015521717284675546,3.510907963760499,0.36778755391710377,0.1060124913396508,4705.217877094972,68.08895539593858,0.968345113365953,0.014332209568675163,5.237059945020838,0.6009673962553912,0.11145179944419484,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,3512.606145251397,66.29412576340115,0.9786011842935777,0.014926963426675354,4.373983954390669,0.4843774750862475,0.10873214539192282,8.164113532474062,-0.8500748911021124,1
17,17,2428.458100558659,64.1758287683233,1.0139006896850198,0.015939907894277714,3.679094636809279,0.4101565600291672,0.11287616553175285,4961.5393258426975,67.6498149634386,1.0588722116498177,0.015797049997435968,5.500402398787231,0.6193502027657636,0.11297371413357085,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,3694.998713200678,65.91282186588094,1.0363864506674187,0.015868478945856843,4.589748517798255,0.5147533813974654,0.11292493983266186,8.214735485128028,-0.8500748911021124,1
18,18,2370.7094972067043,63.57589514153534,1.1449540268074012,0.018775223968049842,3.630925346591639,0.49802554705088,0.13269127993804045,4878.634831460674,66.96500596781492,1.2067249320559759,0.019706804129603142,5.469570145834191,0.738973780912365,0.12911049681276748,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,3624.672164333689,65.27045055467514,1.1758394794316884,0.019241014048826492,4.550247746212915,0.6184996639816225,0.13090088837540398,8.195519125773876,-0.8500748911021124,1
19,19,1857.8491620111731,63.20176656777093,1.0804692537955618,0.017299070322249234,2.7824285102979074,0.3915594260290359,0.14024368736062992,3847.191011235955,66.78287408596395,1.072487030342388,0.0163025030592104,4.1977907080435175,0.5952868391103258,0.14009098586873686,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,2852.520086623564,64.99232032686744,1.0764781420689749,0.01680078669072982,3.4901096091707124,0.49342313256968084,0.1401673366146834,7.955958123472547,-0.8500748911021124,1
