,count,mean,std,min,25%,50%,75%,max
TotalCrashes,8112.0,0.24266518737672585,0.5700864775355866,0.0,0.0,0.0,0.5,9.5
Miles,8112.0,0.5824565333347929,0.4271280676160115,0.10719335292000001,0.326546594974,0.467801745756,0.688650772198,3.1609442605
LaneNumber,8112.0,0.47928994082840237,0.6210582231088182,0.0,0.0,0.0,1.0,2.0
RuralUrban,8112.0,0.9319526627218935,0.2518426409410035,0.0,1.0,1.0,1.0,1.0
SpeedLimit,8112.0,66.89349112426035,5.041022399682134,55.0,65.0,70.0,70.0,70.0
IRI,8112.0,57.60650887573964,36.92802393289051,0.0,44.0,57.0,77.0,182.0
AvgVolume,8112.0,1791.2651669649783,1358.7708851820826,45.680942184154176,612.9611463544338,1656.765147483474,2595.1800951850028,8796.874469273227
AvgSpeed,8112.0,67.01230120818136,5.738885333535538,25.039900077021237,64.08305584234395,67.48865718983365,70.52807979180456,103.38341307610887
StdSpeed,8112.0,2.020850477025948,1.19046332147861,0.7826087915098447,1.3239820640680542,1.6223885310842143,2.3137898397376384,13.53588781910537
CoefOfVarSpeed,8112.0,0.03224342640543857,0.05902311628986549,-2.7006242991485454,0.019706578451819383,0.024905015495729484,0.035743574180904625,1.926921915604032
AvgOccupancy,8112.0,3.9093171291626887,3.182957456037329,0.1593145304119406,1.2487418002736939,3.5939573831181537,5.519834818383872,28.32648775281657
StdOccupancy,8112.0,0.7286915518008362,0.6991667714436463,0.12649322431530913,0.35952819973521566,0.5450701066350225,0.7948224215049603,9.801352065367022
CoefOfVarOccupancy,8112.0,0.26610466259940047,0.19363348879209233,0.06814202442160279,0.13498853234073208,0.18605783939913187,0.3353415861443062,1.4516702884161952
