,count,mean,std,min,25%,50%,75%,max
TotalCrashes,338.0,7.112426035502959,6.409661617387392,0.0,2.5,5.0,9.5,44.0
Miles,338.0,0.5824565333347929,0.4277349525895917,0.10719335292000001,0.32655449482849996,0.467801745756,0.688440337373,3.1609442605
LaneNumber,338.0,0.47928994082840237,0.6219406537704859,0.0,0.0,0.0,1.0,2.0
RuralUrban,338.0,0.9319526627218935,0.2522004715919999,0.0,1.0,1.0,1.0,1.0
SpeedLimit,338.0,66.89349112426035,5.048184937051603,55.0,65.0,70.0,70.0,70.0
IRI,338.0,57.60650887573964,36.98049312077126,0.0,44.0,57.0,77.0,182.0
AvgVolume,338.0,40085.537697851934,14247.372231539008,13404.73647604328,30400.52661421952,37732.47229866606,47598.45083294992,92357.36139464009
AvgSpeed,338.0,67.53426315825999,4.930650408963265,53.23283858206074,64.44348681171647,67.7877559840324,70.58693935862665,101.3452830905633
StdSpeed,338.0,3.6740063493140935,1.3187253069820921,2.159654167465261,2.787785179128985,3.2162725141010675,4.208247842997677,9.755566265036851
CoefOfVarSpeed,338.0,0.05554937739039796,0.027704264508529478,-0.06265477021681055,0.039656074572350354,0.04794845225615732,0.06458529520180555,0.19027815984740798
AvgOccupancy,338.0,3.538600973295681,1.0757005145428367,0.9611144075447005,2.8251838716357622,3.4216079169208333,4.1414110717173855,7.783713690524034
StdOccupancy,338.0,2.6757473484936587,0.9839084093333796,0.7500281118917222,2.0101574158739273,2.4808346486786395,3.093756875104451,6.306724444496737
CoefOfVarOccupancy,338.0,0.7305071209639803,0.09017334854690785,0.5290544056716845,0.6721112164678508,0.7198273523496099,0.7732088169691705,1.036020094804696
