,count,mean,std,min,25%,50%,75%,max
TotalCrashes,2366.0,1.0160608622147083,1.1856951622819023,0.0,0.0,0.5,1.5,9.0
Miles,2366.0,0.5824565333347929,0.4271920266852335,0.10719335292000001,0.326546594974,0.467801745756,0.688650772198,3.1609442605
LaneNumber,2366.0,0.47928994082840237,0.6211512216937729,0.0,0.0,0.0,1.0,2.0
RuralUrban,2366.0,0.9319526627218935,0.2518803523960126,0.0,1.0,1.0,1.0,1.0
SpeedLimit,2366.0,66.89349112426035,5.04177725314426,55.0,65.0,70.0,70.0,70.0
IRI,2366.0,57.60650887573964,36.93355361407522,0.0,44.0,57.0,77.0,182.0
AvgVolume,2366.0,39965.451551249454,15237.790650272877,8830.715116279069,29523.602864583336,37867.28457446809,48973.74795626894,101125.63223518645
AvgSpeed,2366.0,67.55556476874722,5.021327587227007,52.08499820878281,64.49066926103586,67.82086203303243,70.60681258301983,102.83457799623149
StdSpeed,2366.0,3.6599906376435336,1.7177072803870481,1.69433751994023,2.583855607879755,3.020286391044519,4.128439115709259,12.54412863999722
CoefOfVarSpeed,2366.0,0.0553428758327096,0.04922910215178495,-0.7121175791284793,0.037181716553981434,0.0447799578551258,0.06287376299518761,0.9894886912030896
AvgOccupancy,2366.0,3.5229086008591706,1.2917085498770433,0.5165283071447656,2.641351487097523,3.414769276901854,4.238512538511058,8.86171981466454
StdOccupancy,2366.0,2.659637911118952,1.3004162124922813,0.3552577327461962,1.704019745353097,2.43993194751249,3.2419830898439894,8.411497358644546
CoefOfVarOccupancy,2366.0,0.7292423656506491,0.13066915019573816,0.4083611110311905,0.6345259727221524,0.7122665607563433,0.797827843096362,1.2481550633282659
