,hour,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RoadName,Direction,Roadtype,Shape_Leng,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SPEED,Shape_Le_2
20,20,3803.677966101695,64.39904271104811,1.1522453061971738,0.01802021465472088,2.8549123179519267,0.4142237300702587,0.14699338442578333,1853.2625698324027,60.64815529155328,1.8795292853706085,0.03116120751930572,3.6974727017999327,0.5706045374985601,0.15326277135209546,8581_7010,1.0,1.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
21,21,3452.0790960451977,64.29981818224914,1.0740689505627534,0.01692171593912685,2.556870969412948,0.38525702485936864,0.15187763612335345,1675.1452513966478,61.07761800357426,1.924356749782887,0.032011853640961964,3.4328095233599196,0.5539341243893615,0.16306335692272464,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
22,22,3225.180790960452,64.51799779440621,1.0234975979498973,0.01597135112154116,2.322782654631625,0.3690806779586159,0.16711263698975,1538.0,61.65001718310872,1.845789945182388,0.030134328178875108,3.1409691252077376,0.5123003827314093,0.16896374832718866,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
23,23,2774.3446327683614,64.86115577344819,1.2166273990598293,0.01914830474915033,1.995592326135018,0.4382642568959112,0.2044932774099585,1332.5530726256986,62.751325162297036,2.0614395633595084,0.033414434558839384,2.7375565594044478,0.5432263376467935,0.19141315083552565,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
24,0,919.4525139664804,63.90162931718362,2.198581633458329,0.03461591225322209,1.977142005053797,0.5119147610185001,0.2579708990929137,939.9209039548024,65.01308726061548,1.7805218008006365,0.027423687132373708,1.9672744941812728,0.5297217381913029,0.2685971940332239,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
25,1,460.53631284916196,65.30710676936609,2.442164275514729,0.03754197415960342,1.034624917086702,0.34198777789077633,0.3328251088960977,479.53107344632764,66.45323810873822,2.272725298891757,0.03423865194242378,0.950837401215315,0.3281263404494837,0.3484574653498754,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
26,2,271.66101694915255,65.70949104869362,3.0301448608314776,0.046220650740684835,0.6572220850762122,0.2755153462797984,0.4272663488202481,288.83428571428567,67.10253995739714,2.6241707673551637,0.03913888089711241,0.5677734738806173,0.23941029060589375,0.4353306307959819,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
27,3,218.73184357541902,64.55154364366386,3.206316319242277,0.04972435513561284,0.5988137247287344,0.26492913071644103,0.4569913171180939,233.28813559322037,66.30655775094333,2.73383883916023,0.04127515768915261,0.5190902736100473,0.2323987834185595,0.4687114505249937,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
28,4,307.46927374301674,63.52523824800817,2.7172228382663746,0.04279235284312263,0.6678121437408611,0.25116053088425744,0.3833301150762285,321.10169491525426,65.56637336429003,2.1341023972004938,0.032604719703644966,0.6171975766961638,0.2351371831785497,0.39500998604900894,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
29,5,416.38547486033514,63.92621218077277,2.3483866931359105,0.03684125649043669,0.8836210328171493,0.26794250821243204,0.308773702639538,424.0847457627119,65.79916719083388,1.8874698164058863,0.028742464162658368,0.846784490357937,0.26091762705621,0.3122314845539175,7010_6916,0.0,0.0,0.0,2,2,2,1,2,1,2,3,1,1,3,417,FL-417 N,N,Freeway,0.340712405056,0.00555858269248,7010,6916,E,2,45451,4,417,69500,45451,70,0,70.0,0.00555858269248
