,count,mean,std,min,25%,50%,75%,max
TotalCrashes,1352.0,1.455991124260355,1.862726341696879,0.0,0.5,1.0,2.0,15.5
Miles,1352.0,0.5824565333347929,0.427259779379485,0.10719335292000001,0.326546594974,0.467801745756,0.688650772198,3.1609442605
LaneNumber,1352.0,0.47928994082840237,0.6212497363339781,0.0,0.0,0.0,1.0,2.0
RuralUrban,1352.0,0.9319526627218935,0.25192030064279114,0.0,1.0,1.0,1.0,1.0
SpeedLimit,1352.0,66.89349112426035,5.042576879474758,55.0,65.0,70.0,70.0,70.0
IRI,1352.0,57.60650887573964,36.93941127903459,0.0,44.0,57.0,77.0,182.0
AvgVolume,1352.0,10706.217427575111,5438.376058877947,1871.3390557939915,6719.03596180977,9250.54634642247,13403.56188366982,37267.61092693216
AvgSpeed,1352.0,66.33423043060108,6.171363222571376,33.9547098963924,63.295951809753525,66.91086495190272,70.20884922192208,101.23346182338707
StdSpeed,1352.0,2.974942605061694,2.2365376980620963,1.1035164753541706,1.6994376426969389,2.2399099602152277,3.187017934889925,15.829118975358783
CoefOfVarSpeed,1352.0,0.13598656652644564,2.2678539408216785,-0.20744988983127127,0.025007869938124472,0.034087458260126616,0.048839437736427224,59.02235947607822
AvgOccupancy,1352.0,5.154133823532339,3.2845897327450104,0.380965690095924,2.282963526575566,4.857752894099651,6.683792689367978,20.037242042380775
StdOccupancy,1352.0,1.63376957631906,1.3202795394517068,0.3114135777704005,0.9313736878914475,1.2169426250890645,1.7462877508818446,11.4199763541467
CoefOfVarOccupancy,1352.0,0.38389235308853364,0.2411542937425194,0.12310183827459609,0.20818499029923498,0.266456587727391,0.5519029614006363,1.2378484567740253
