,hour,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RouteId,Direction,Roadtype,Miles,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SpeedLimit,Shape_Le_2,RuralUrban,AvgVolume,AvgSpeed,StdSpeed,CoefOfVarSpeed,AvgOccupancy,StdOccupancy,CoefOfVarOccupancy,LogVolume,LogSegLength,LaneNumber
0,0,342.84582441113486,60.99816406070323,2.3313106947125006,0.03946159499984397,0.6397467656224232,0.4262571349841906,0.4719039962109163,703.3841201716738,65.01025528874246,2.3926375485377984,0.03857573670839328,0.7626579885700059,0.42905095991322695,0.4736824808202801,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,523.1149722914043,63.004209674722844,2.3619741216251495,0.039018665854118624,0.7012023770962146,0.4276540474487088,0.4727932385155982,6.259801272202484,-0.8500748911021124,1
1,1,217.39186295503208,60.47718053195384,2.891443564802048,0.04967210555933147,0.4769746363894296,0.3985113571697251,0.6257597898372401,447.4656652360515,64.4518629422689,2.920172196379593,0.047404446436383633,0.5117236848683564,0.3751250854029343,0.7221043013169733,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,332.4287640955418,62.46452173711137,2.9058078805908205,0.04853827599785755,0.494349160628893,0.3868182212863297,0.6739320455771067,5.806425593820851,-0.8500748911021124,1
2,2,173.40685224839402,60.53301394889776,3.0498420054495194,0.05151729560297138,0.39262478806069395,0.3059281183518982,0.6865837214025433,351.6072961373391,64.6554235697342,3.1070400378560428,0.04985276074415225,0.39227023026647495,0.28958452408681673,0.8806695697619233,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,262.5070741928666,62.59421875931598,3.078441021652781,0.05068502817356181,0.39244750916358445,0.29775632121935747,0.7836266455822334,5.570278030974711,-0.8500748911021124,1
3,3,193.7002141327623,60.940349217245725,2.7836543320369085,0.04651547500563315,0.4239246956046644,0.2960890957206671,0.6114932465836476,387.9914163090129,65.07930458735422,2.7776259218088857,0.0437566820040627,0.44468697255308,0.2813187890475462,0.7346678881566789,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,290.84581522088763,63.00982690229997,2.780640126922897,0.045136078504847923,0.4343058340788722,0.2887039423841067,0.6730805673701632,5.672793282152479,-0.8500748911021124,1
4,4,348.83725910064237,61.982741318035394,2.1106009464055115,0.03463224162147245,0.6094379405106565,0.2723196768455123,0.43127552353709386,675.7660944206009,66.1265006258363,2.145143984760633,0.033486393748233936,0.7752835129878481,0.3752609790378597,0.4806135589211741,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,512.3016767606216,64.05462097193585,2.1278724655830725,0.034059317684853194,0.6923607267492523,0.323790327941686,0.45594454122913397,6.238913663945113,-0.8500748911021124,1
5,5,1074.2269807280513,63.40099913260032,1.399537791623374,0.02243575908383931,1.721566499737596,0.7441416462026301,0.4318494713292837,2035.4592274678116,67.6544682708108,1.3277214714697838,0.019873102093615515,2.440433985324004,1.0844936927903253,0.4491257961786216,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,1554.8431040979315,65.52773370170556,1.363629631546579,0.021154430588727412,2.0810002425308,0.9143176694964776,0.4404876337539526,7.349129921836603,-0.8500748911021124,1
6,6,3060.884368308351,62.43727541800681,1.3422333837835494,0.022254352361857882,5.320465821857932,1.757545604813285,0.3181416092291268,5803.753218884121,66.21233930391652,1.5727748518809768,0.02445353604145992,7.578979083029518,2.5349024893316967,0.3275219959507294,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,4432.318793596236,64.32480736096167,1.4575041178322632,0.0233539442016589,6.449722452443725,2.146224047072491,0.3228318025899281,8.396678155803334,-0.8500748911021124,1
7,7,4898.950749464668,46.82334084464389,11.88812760421126,0.30234899459194065,18.283412100088423,8.350758285998724,0.3982925618552084,9199.472103004293,46.25108375470497,13.306921156719378,0.33205549190952777,25.065203859087987,9.838364139331023,0.36475734296821466,5905_6014,2.0,1.5,0.5,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,7049.21142623448,46.53721229967443,12.59752438046532,0.3172022432507342,21.674307979588207,9.094561212664875,0.3815249524117115,8.860671035115315,-0.8500748911021124,1
8,8,4223.122317596567,49.74883571131559,7.144525155684142,0.18587124843971514,15.446390876777606,5.158756577203649,0.3021193406550716,8174.937634408602,47.252921692405536,8.650118411785417,0.2203380149974332,23.132379607250584,6.626034454403576,0.2920992930361403,5905_6014,1.0,1.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,6199.029976002585,48.500878701860564,7.89732178373478,0.20310463171857418,19.289385242014095,5.892395515803612,0.29710931684560593,8.732148103309292,-0.8500748911021124,1
9,9,3375.175965665236,61.5001452015828,1.8897281678583608,0.03553396295909336,6.377785398065318,1.267138001676385,0.15517158125140193,6704.389247311828,63.8589683418931,2.8555313467869317,0.05235306791037305,9.716661471344258,2.193550923828316,0.181617009626322,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,5039.782606488532,62.67955677173795,2.3726297573226462,0.04394351543473321,8.047223434704788,1.7303444627523505,0.16839429543886197,8.525118226501904,-0.8500748911021124,1
10,10,2734.820128479657,62.50236354238717,0.9207808215654816,0.014805664824581444,4.809157524866139,0.4668285827007841,0.09845543797860626,5436.8304721030045,65.69534155937053,0.9354542853863844,0.014352058458735075,7.121424029793128,0.7005720190673069,0.0986258899155969,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,4085.8253002913307,64.09885255087886,0.9281175534759329,0.01457886164165826,5.965290777329633,0.5837003008840456,0.09854066394710158,8.315279018783471,-0.8500748911021124,1
11,11,2582.4978632478633,62.791980924017274,0.9303796693767477,0.014918827916065457,4.524911974895796,0.4441224543524293,0.0983219176338855,5117.736051502146,66.07777276133497,0.9155578560834878,0.013952679024772648,6.699977271178996,0.6504974128535274,0.0971600879264102,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,3850.116957375005,64.43487684267612,0.9229687627301177,0.014435753470419053,5.612444623037396,0.5473099336029783,0.09774100278014786,8.255858805359374,-0.8500748911021124,1
12,12,2609.17094017094,62.71496237234972,0.9743441545177284,0.015736668277006458,4.5637203749381765,0.4780448304936207,0.1051103575202432,5155.455913978494,66.01297401821597,1.0108750640002206,0.015731531749135528,6.770053802231221,0.740109741736086,0.10572130596814493,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,3882.313427074717,64.36396819528284,0.9926096092589745,0.015734100013070993,5.666887088584699,0.6090772861148533,0.10541583174419406,8.264186499025858,-0.8500748911021124,1
13,13,2614.980769230769,62.697434191975354,1.0068218486170342,0.016232628429131306,4.596817514758318,0.4724149956605804,0.1010504638901803,5170.911827956989,65.97709566916555,1.0594415905406556,0.016312884788375653,6.795256793186902,0.7038696459512855,0.10227721469918066,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,3892.946298593879,64.33726493057046,1.033131719578845,0.016272756608753478,5.69603715397261,0.588142320805933,0.10166383929468048,8.26692155316491,-0.8500748911021124,1
