,day,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RouteId,Direction,Roadtype,Miles,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SpeedLimit,Shape_Le_2,RuralUrban,AvgVolume,AvgSpeed,StdSpeed,CoefOfVarSpeed,AvgOccupancy,StdOccupancy,CoefOfVarOccupancy,LogVolume,LogSegLength,LaneNumber
10,3,51958.05617977528,64.02460959866488,7.268282983520124,0.11480852619961784,6.381733658307698,5.953125460270632,0.9123139769186768,52426.3,61.07185521622504,7.59348031133507,0.12593729802495926,4.951710677300713,5.338776809501303,1.0385288965190222,6011_8219,1.0,0.5,0.5,261,2,22,1,261,1,261,0,1,260,22,408,E West Expy E,E,Freeway,0.26447248069400003,0.0,6011,8219,E,2,65863,6,408,66500,65863,65,55,65.0,0.0042867675845,1,52192.178089887646,62.54823240744496,7.430881647427597,0.12037291211228855,5.666722167804205,5.6459511348859674,0.9754214367188495,10.862687917621534,-1.3300180758414062,1
11,4,54356.47826086957,64.94755386655957,5.39626945518758,0.08479300720288215,6.208377996721982,4.996908384548835,0.7827252856254142,54599.2340425532,62.182340463479136,5.2704481012510325,0.08636210379669018,4.588637167846841,4.054780241185832,0.8410829667170909,6011_8219,1.0,0.5,0.5,261,2,22,1,261,1,261,0,1,260,22,408,E West Expy E,E,Freeway,0.26447248069400003,0.0,6011,8219,E,2,65863,6,408,66500,65863,65,55,65.0,0.0042867675845,1,54477.856151711385,63.564947165019355,5.333358778219306,0.08557755549978616,5.398507582284411,4.525844312867333,0.8119041261712525,10.905549588942499,-1.3300180758414062,1
12,5,41325.53333333333,67.68536761945026,2.4080896926832183,0.035840252878514965,3.8719115396692088,2.3638272029344893,0.6012760895537391,41686.27173913043,64.71030153484533,2.372722876946459,0.03701619226092395,2.8342100963867765,1.7967941585177605,0.6090041849495628,6011_8219,0.0,0.0,0.0,261,2,22,1,261,1,261,0,1,260,22,408,E West Expy E,E,Freeway,0.26447248069400003,0.0,6011,8219,E,2,65863,6,408,66500,65863,65,55,65.0,0.0042867675845,1,41505.90253623188,66.1978345771478,2.390406284814839,0.03642822256971946,3.3530608180279926,2.080310680726125,0.605140137251651,10.633590925893813,-1.3300180758414062,1
13,6,32841.623529411765,68.21059413408689,2.3028863110375712,0.033857591047021594,2.8583167785060617,1.8106374422997715,0.6325154690361513,32427.597701149425,65.33899867627021,2.131571451713619,0.03273579110948361,2.0759364206545983,1.3475532996051387,0.6410565262556225,6011_8219,0.5,0.5,0.0,261,2,22,1,261,1,261,0,1,260,22,408,E West Expy E,E,Freeway,0.26447248069400003,0.0,6011,8219,E,2,65863,6,408,66500,65863,65,55,65.0,0.0042867675845,1,32634.610615280595,66.77479640517855,2.217228881375595,0.0332966910782526,2.4671265995803298,1.5790953709524551,0.636785997645887,10.39312867949149,-1.3300180758414062,1
14,0,41308.643678160915,68.72278673661708,3.2476927875871318,0.047687157767665085,2.824135473432892,2.7037306059791213,0.9285045543789692,41931.82795698925,66.39166951094046,3.0317937116038736,0.04603363836618166,3.5059321260659786,3.0788513566106235,0.8589134961460245,6068_8208,1.5,1.0,0.5,251,2,12,1,251,1,251,0,1,250,12,408,E West Expy E,E,Freeway,0.252460012189,0.0,6068,8208,E,2,65863,6,408,73500,65863,65,67,65.0,0.0041405043817800006,1,41620.235817575085,67.55722812377877,3.1397432495955027,0.046860398066923374,3.1650337997494353,2.8912909812948726,0.8937090252624968,10.63634176589926,-1.376502410376507,1
15,1,42926.066666666666,68.33026315721727,3.8820894706011297,0.05728835711631468,3.0092279829488606,2.8737381823628483,0.9312277314667966,43292.642105263156,65.80571730001887,4.040851767033455,0.06213556203312352,3.766903164309359,3.594683001712748,0.9261734750601788,6068_8208,1.5,1.5,0.0,251,2,12,1,251,1,251,0,1,250,12,408,E West Expy E,E,Freeway,0.252460012189,0.0,6068,8208,E,2,65863,6,408,73500,65863,65,67,65.0,0.0041405043817800006,1,43109.35438596491,67.06799022861807,3.961470618817293,0.0597119595747191,3.3880655736291097,3.2342105920377984,0.9287006032634877,10.671495291659772,-1.376502410376507,1
16,2,43962.8,68.29020468489277,3.6231898836348257,0.05338089776667887,3.0276972039371244,2.7450845361813045,0.8919064138183102,44532.70212765958,65.79267593795312,3.7032292242184974,0.05674275659699074,3.8194723296650235,3.4273763974429787,0.8826287665265921,6068_8208,3.0,2.0,1.0,251,2,12,1,251,1,251,0,1,250,12,408,E West Expy E,E,Freeway,0.252460012189,0.0,6068,8208,E,2,65863,6,408,73500,65863,65,67,65.0,0.0041405043817800006,1,44247.75106382979,67.04144031142295,3.6632095539266616,0.055061827181834805,3.423584766801074,3.0862304668121414,0.8872675901724512,10.697559825728247,-1.376502410376507,1
17,3,44075.38372093024,68.4317711523898,3.446725494091566,0.050729489789732816,3.0362181338712326,2.7164225904480195,0.8797659202494371,44404.888888888876,65.94753176886597,3.622841924291999,0.05538022598316653,3.84553454179436,3.409547852798529,0.8710003590252247,6068_8208,1.0,1.0,0.0,251,2,12,1,251,1,251,0,1,250,12,408,E West Expy E,E,Freeway,0.252460012189,0.0,6068,8208,E,2,65863,6,408,73500,65863,65,67,65.0,0.0041405043817800006,1,44240.13630490955,67.18965146062789,3.5347837091917826,0.053054857886449674,3.4408763378327962,3.0629852216232742,0.8753831396373308,10.697387717224688,-1.376502410376507,1
18,4,45665.56043956044,68.88861831075376,2.4749765415743465,0.03611564491421579,3.0394035483045583,2.14384397270864,0.7080009970121021,46716.54255319149,66.45975175908642,2.443551714122876,0.03697718496233969,3.7887925953514934,2.6460112267918743,0.6971934390864738,6068_8208,0.0,0.0,0.0,251,2,12,1,251,1,251,0,1,250,12,408,E West Expy E,E,Freeway,0.252460012189,0.0,6068,8208,E,2,65863,6,408,73500,65863,65,67,65.0,0.0041405043817800006,1,46191.05149637596,67.67418503492009,2.4592641278486114,0.03654641493827774,3.414098071828026,2.394927599750257,0.7025972180492879,10.740541367754759,-1.376502410376507,1
19,5,35834.45977011494,70.04612243707864,2.5736045890584616,0.03702915539376106,2.0592696157733563,1.3904234362246972,0.6677322933460647,35693.369565217385,67.41473211853035,2.337492048245339,0.03495956734389799,2.6063533958091227,1.5936473426185165,0.6076911478142634,6068_8208,1.0,0.5,0.5,251,2,12,1,251,1,251,0,1,250,12,408,E West Expy E,E,Freeway,0.252460012189,0.0,6068,8208,E,2,65863,6,408,73500,65863,65,67,65.0,0.0041405043817800006,1,35763.91466766616,68.7304272778045,2.4555483186519003,0.035994361368829525,2.3328115057912395,1.492035389421607,0.637711720580164,10.484694693868304,-1.376502410376507,1
