,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RouteId,Direction,Roadtype,Miles,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SpeedLimit,Shape_Le_2,RuralUrban,AvgVolume,AvgSpeed,StdSpeed,CoefOfVarSpeed,AvgOccupancy,StdOccupancy,CoefOfVarOccupancy,LogVolume,LogSegLength,LaneNumber
10,29355.060371517036,63.934889304221144,3.3118342200754602,0.05219013199829735,3.0033486808816074,1.8827836407169267,0.6114111241430649,34857.49845201238,64.79511993256236,2.952499861888477,0.04607106368700879,3.5122359390502185,2.438798677695792,0.6803138074253933,6303_6305,8.0,6.0,2.0,286,2,47,1,286,1,286,0,1,285,47,408,E West Expy E,E,Freeway,0.385135760689,0.0,6303,6305,E,2,65863,4,408,90000,65863,65,90,65.0,0.00633605252537,1,32106.27941176471,64.36500461839175,3.132167040981969,0.04913059784265307,3.2577923099659127,2.1607911592063593,0.6458624657842291,10.376806910291148,-0.9541593816857612,0
11,34857.49845201238,64.79511993256236,2.952499861888477,0.04607106368700879,3.5122359390502185,2.438798677695792,0.6803138074253933,30359.603395061727,64.82385843604604,2.8974815304340886,0.045043352992092806,3.012802996757661,2.1179991874755424,0.6852405936524283,6305_8077,3.5,3.0,0.5,292,2,53,1,292,1,292,0,1,291,53,408,E West Expy E,E,Freeway,0.142732433716,0.0,6305,8077,E,2,65863,4,408,90000,65863,65,60,65.0,0.00234816031831,1,32608.550923537055,64.8094891843042,2.9249906961612826,0.0455572083395508,3.2625194679039398,2.2783989325856675,0.6827772005389108,10.392329831228631,-1.946783494298273,0
12,52643.47222222222,61.71622829237441,2.4736069898853468,0.04030516569370898,2.757105314591453,1.8296625457118965,0.6411165483668398,48725.99217527387,68.02289722430838,2.629459422319181,0.039147542327413874,2.960924891797594,2.2494376578869915,0.6749211918513558,6309_6301,2.0,1.5,0.5,271,2,32,1,271,1,271,0,1,270,32,408,E West Expy E,E,Freeway,0.315680897233,0.0,6309,6301,E,2,65863,7,408,133593,65863,65,81,65.0,0.00519002379719,1,50684.73219874804,64.8695627583414,2.551533206102264,0.03972635401056143,2.8590151031945235,2.0395501017994437,0.6580188701090979,10.83338000416336,-1.1530233944887336,1
13,61284.54743390357,54.59369436098503,9.864327808226284,0.18838654361121854,6.041824175231374,6.306628728416581,0.9582071074734226,60445.77708978328,61.38580428861145,3.5608732198665667,0.05879828944592661,7.407780502129612,4.341824594191015,0.5785418003718443,6679_6276,44.0,30.5,13.5,266,2,27,1,266,1,266,0,1,265,27,408,E West Expy E,E,Freeway,0.703751292215,0.0,6679,6276,W,3,65863,4,0,23980,65863,55,145,55.0,0.0115384523144,1,60865.16226184343,57.98974932479824,6.712600514046425,0.12359241652857257,6.724802338680494,5.324226661303799,0.7683744539226335,11.016416241770372,-0.351330263345198,0
14,127917.28717948715,63.92781997463407,3.706329734207335,0.05838937744331736,4.799006595907877,3.635483987280137,0.7468006811226713,26624.324803149608,63.48696873144742,3.544018866861105,0.0561274214845483,2.6182453150489104,1.956252091024736,0.7338088755568279,6690_8041,12.0,9.0,3.0,291,2,52,1,291,1,291,0,1,290,52,408,E West Expy E,E,Freeway,0.446478018899,0.0,6690,8041,E,2,65863,4,408,68516,65863,65,55,65.0,0.00732783498468,1,77270.80599131838,63.70739435304074,3.62517430053422,0.05725839946393283,3.708625955478394,2.7958680391524364,0.7403047783397496,11.255071491717262,-0.8063651096668828,0
15,36137.163043478264,67.09381185323284,2.5287930234813984,0.03808864158857765,2.668482812320053,1.9667021617486784,0.7277238595215684,38486.03549382716,70.33438707653082,2.7427701190720697,0.03921902120761511,2.6107051528290546,1.995283967793153,0.7489041636085982,6788_8144,2.0,1.0,1.0,246,2,7,1,246,1,246,0,1,245,7,408,E West Expy E,E,Freeway,0.32942483801600003,0.0,6788,8144,E,2,65863,4,408,73500,65863,65,90,65.0,0.00541623493582,1,37311.59926865272,68.71409946488183,2.635781571276734,0.03865383139809638,2.639593982574554,1.9809930647709157,0.7383140115650833,10.527059529639967,-1.1104070602683282,0
16,64179.810185185175,66.64990304947838,2.8662100741728382,0.04335290449603935,3.7399060078824884,2.7128541447272743,0.6980169373035513,63853.012422360254,65.34208492033261,2.558719527222709,0.039397646008655404,2.8189364235822367,2.082827677601278,0.7106473388608127,6881_8431,21.0,17.5,3.5,278,2,39,1,278,1,278,0,1,277,39,408,E West Expy E,E,Freeway,0.687809032898,0.0,6881,8431,E,2,65863,8,408,128500,65863,65,61,65.0,0.011309096359899998,1,64016.411303772715,65.9959939849055,2.7124648006977736,0.04137527525234738,3.279421215732363,2.397840911164276,0.704332138082182,11.066894756091571,-0.3742440480402581,2
17,18088.29237947123,60.2068162104701,2.345875798771855,0.03911564962099308,2.58106461941397,1.8249706358210087,0.6837372051257758,18164.973602484468,61.28288270086895,2.8969712699655417,0.047433204820542224,1.1390754743104397,0.9388433376330736,0.7691999136196788,6970_8174,5.5,4.5,1.0,293,2,54,1,293,1,293,0,1,292,54,408,E West Expy E,E,Freeway,0.470339973172,0.0,6970,8174,E,2,65863,4,408,38500,65863,65,79,65.0,0.006869121948,1,18126.63299097785,60.744849455669524,2.6214235343686982,0.04327442722076765,1.8600700468622047,1.3819069867270413,0.7264685593727274,9.80513757171842,-0.7542994985930412,0
18,29562.018604651163,63.4266233434939,3.2132814816224053,0.05126042495280412,4.032834394292571,2.678464960220285,0.6493518358217191,29355.060371517036,63.934889304221144,3.3118342200754602,0.05219013199829735,3.0033486808816074,1.8827836407169267,0.6114111241430649,8009_6303,6.5,3.5,3.0,284,2,45,1,284,1,284,0,1,283,45,408,E West Expy E,E,Freeway,0.21678514424400006,0.0,8009,6303,E,2,65863,4,408,90000,65863,65,87,65.0,0.00356640114547,1,29458.539488084098,63.68075632385752,3.262557850848933,0.05172527847555074,3.5180915375870896,2.280624300468606,0.6303814799823919,10.29073911268735,-1.5288485346242227,0
19,22479.269537480064,54.574157514602796,6.040472951312975,0.11199389071330837,3.840861084658717,3.5885004919453327,0.8735801821262689,31031.548780487807,63.425351918393424,5.643795449350987,0.0901759832554742,5.140216783890326,4.4406079223497175,0.8302051043044277,8033_8027,10.0,6.0,4.0,282,2,43,1,282,1,282,0,1,281,43,408,E West Expy E,E,Freeway,0.286919626549,0.0,8033,8027,S,2,65863,6,417,69354,65863,70,0,70.0,0.00472026513411,1,26755.409158983937,58.99975471649811,5.842134200331982,0.10108493698439128,4.490538934274522,4.014554207147525,0.8518926432153483,10.194491943432954,-1.2485531493105584,1
