,hour,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RoadName,Direction,Roadtype,Shape_Leng,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SPEED,Shape_Le_2
10,10,4858.688311688312,63.70796293054264,0.9683200135093682,0.015530017277656785,4.3899243514745985,0.5386287410857107,0.120313192291756,2353.164882226981,59.16898251730964,1.5544602436699702,0.026845752424299273,4.8672898575321435,0.6527758280949659,0.1310181226822233,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
11,11,5010.04535637149,63.59304246140182,1.1776994578694044,0.019651683115572856,4.609744646898838,0.6025337255502334,0.12211739997518042,2418.948608137045,58.84108460581869,1.6670205263502396,0.029525478352126763,5.193824902366282,0.713428510942968,0.13047017379782433,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
12,12,4745.507559395249,64.36429959213089,1.1249453205116535,0.017815113063701787,4.199247632311563,0.5322629941556459,0.12463022828982925,2260.623931623932,60.303201379787396,1.6747386872212615,0.02858647399944908,4.780661348771776,0.6455488820991556,0.1311170037394884,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
13,13,4664.969696969697,64.81462627055296,1.1387315217014762,0.018263379599892302,4.074088032286723,0.5450943113108045,0.12861937664313428,2228.264957264957,61.14952440545068,1.5733188677542875,0.026462102148603672,4.662996276804972,0.643751522876397,0.13439568549217895,8581_7010,1.0,0.0,1.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
14,14,5273.1341991342,64.881145651376,1.141169735948827,0.018329464778982826,4.592992178374984,0.623155121694692,0.13030806150052035,2513.884615384615,61.10789437195032,1.6470263337171451,0.028114783184047715,5.269002992115713,0.774941014399881,0.14061255684006205,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
15,15,6291.362850971923,63.69414024511028,1.9730707969633408,0.03807627984339699,6.001481409646533,1.1385544535048902,0.15162452784436892,3031.869658119658,59.02006915494382,2.7208434915578663,0.05161648420088927,6.996516465486084,1.3731802917995874,0.1736510110570728,8581_7010,5.0,5.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
16,16,6986.855291576673,57.93652147069725,4.837573353305144,0.11061830931070324,9.18407108623261,2.729139604253169,0.2253915372614653,3515.9507494646678,52.045795121947314,4.956656867533201,0.1048372283111332,10.616234612199417,2.675364038208793,0.2361157956720157,8581_7010,2.0,1.0,1.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
17,17,6825.717062634989,45.99374909682149,7.826336822491528,0.2306034782247667,15.76319716636294,5.326904817158117,0.3087554720042471,3761.098501070664,40.61597261340261,5.456883334979931,0.1347504000070926,16.051563921636397,3.4250308819050814,0.22665138713143965,8581_7010,3.0,3.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
18,18,4977.488120950324,60.472621064306956,5.7496638371737925,0.12052884217242005,6.231378213716301,3.306709144671558,0.3879171826802824,2618.867237687366,54.69947918857768,7.297920385435089,0.14845773694854075,7.884024083539196,3.832467911469484,0.4361419189497625,8581_7010,3.0,3.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
19,19,3510.997835497836,64.9916571247637,1.131410096246448,0.017839416488560404,2.7121292593084774,0.4991433484341922,0.1777874257824961,1698.5386266094422,61.94025027220731,1.8105599181149887,0.029800986655734468,3.5077029416053995,0.6371800453142229,0.17584692665798024,8581_7010,0.0,0.0,0.0,1,2,1,1,1,1,1,2,1,0,2,417,FL-417 N,N,Freeway,0.9199873705439999,0.0149705228431,8581,7010,E,2,45451,4,417,43569,45451,70,0,70.0,0.0149705228431
