,period,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId,TotalCrashes,OCrashes,KABCCrashes,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RouteId,Direction,Roadtype,Miles,Shape_Le_1,UpStationId,DownStationId,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SpeedLimit,Shape_Le_2,RuralUrban,AvgVolume,AvgSpeed,StdSpeed,CoefOfVarSpeed,AvgOccupancy,StdOccupancy,CoefOfVarOccupancy,LogVolume,LogSegLength,LaneNumber
0,0,8221.92750533049,61.50745707173986,2.7955118119786286,0.046419753582673945,1.2438131312201377,1.1041857010493985,0.8496352824540504,16455.08547008547,65.49276156519589,2.8453737242389585,0.04476475170569698,1.7522955981286037,1.5614840688099292,0.8676005173534541,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,12338.506487707979,63.50010931846788,2.8204427681087934,0.04559225264418546,1.4980543646743707,1.3328348849296638,0.8586178999037523,9.420480259965105,-0.8500748911021124,1
1,1,12173.914346895075,53.01337752044122,11.689193035961685,0.24973267256727705,13.008026653241815,8.74035804112264,0.5995768658344244,23160.620171673818,53.25584619654813,14.386270755108187,0.3014662887528397,18.577871514431404,11.410179215149196,0.5751302903506479,5905_6014,3.0,2.5,0.5,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,17667.267259284446,53.13461185849467,13.037731895534936,0.27559948066005835,15.79294908383661,10.075268628135918,0.5873535780925361,9.779468899096859,-0.8500748911021124,1
2,2,8883.786780383796,62.585019632620856,1.8774437951035725,0.0316987135965477,5.0814631163642945,1.045539466240376,0.17603601725845192,17733.852564102563,64.56117722150039,3.603932116632431,0.0638704937105063,8.176716380722787,2.4822441626270573,0.2364004368947849,5905_6014,0.0,0.0,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,13308.819672243179,63.57309842706062,2.740687955868002,0.04778460365352699,6.6290897485435405,1.7638918144337166,0.2062182270766184,9.496182227685512,-0.8500748911021124,1
3,3,19584.904051172707,62.49089738284847,1.6762298489972596,0.02717149779992058,4.988868381266527,1.0344459574602611,0.1958692974132916,38594.67307692308,65.59274110194892,2.1723943419141687,0.03378166464022974,7.426136514297192,1.72541753273025,0.2199838250408077,5905_6014,0.5,0.5,0.0,253,2,14,1,253,1,253,0,1,252,14,408,E West Expy E,E,Freeway,0.427382923572,0.0,5905,6014,E,2,65863,6,408,66500,65863,65,86,65.0,0.00691155769553,1,29089.788564047893,64.0418192423987,1.924312095455714,0.030476581220075162,6.2075024477818594,1.3799317450952555,0.20792656122704967,10.278142483124844,-0.8500748911021124,1
4,0,8723.275109170305,66.22163665842523,2.8208454071902596,0.04344246798173649,1.8672235193245577,1.6137749595610569,0.8393010383236771,8760.284796573877,63.6099085961306,2.8573079116398166,0.04581206794450243,1.3982363372694355,1.2109760512968206,0.8355981128675617,6011_8219,0.5,0.0,0.5,261,2,22,1,261,1,261,0,1,260,22,408,E West Expy E,E,Freeway,0.26447248069400003,0.0,6011,8219,E,2,65863,6,408,66500,65863,65,55,65.0,0.0042867675845,1,8741.77995287209,64.91577262727792,2.839076659415038,0.04462726796311946,1.6327299282969965,1.4123755054289386,0.8374495755956194,9.075869103849548,-1.3300180758414062,1
5,1,12802.628571428571,58.16979147997253,8.77902730455514,0.1598022505148567,13.970734967178625,5.784459796275487,0.3968868057868487,12781.572354211665,57.523911801646435,7.4864038126588,0.13777755704228156,9.861492225631695,4.5469236133557285,0.4296129190182103,6011_8219,2.0,1.5,0.5,261,2,22,1,261,1,261,0,1,260,22,408,E West Expy E,E,Freeway,0.26447248069400003,0.0,6011,8219,E,2,65863,6,408,66500,65863,65,55,65.0,0.0042867675845,1,12792.100462820119,57.84685164080948,8.13271555860697,0.14878990377856913,11.916113596405161,5.1656917048156075,0.4132498624025295,9.456583108049252,-1.3300180758414062,1
6,2,9649.179431072209,62.10287526533839,6.858934353281952,0.12894795151095026,9.935555431226929,4.084013518515942,0.3325550690192756,9692.811158798284,56.98981881926907,8.854330389741731,0.18060206984256508,8.979083451353699,5.2888482764615965,0.4816028042667379,6011_8219,1.0,0.5,0.5,261,2,22,1,261,1,261,0,1,260,22,408,E West Expy E,E,Freeway,0.26447248069400003,0.0,6011,8219,E,2,65863,6,408,66500,65863,65,55,65.0,0.0042867675845,1,9670.995294935246,59.54634704230373,7.856632371511841,0.15477501067675767,9.457319441290313,4.686430897488769,0.40707893664300676,9.1768865092041,-1.3300180758414062,1
7,3,20809.70588235294,65.84046391335707,2.2249062139130915,0.0343241843387381,7.735229951422911,1.5364711427608948,0.1930844730221966,20801.004282655245,62.66535056064679,2.007983165529608,0.03252844762984919,5.545796314332246,1.2248144175166393,0.2107031590520327,6011_8219,1.5,1.5,0.0,261,2,22,1,261,1,261,0,1,260,22,408,E West Expy E,E,Freeway,0.26447248069400003,0.0,6011,8219,E,2,65863,6,408,66500,65863,65,55,65.0,0.0042867675845,1,20805.355082504095,64.25290723700193,2.11644468972135,0.033426315984293645,6.640513132877578,1.380642780138767,0.20189381603711465,9.94296568844295,-1.3300180758414062,1
8,0,6719.696832579186,68.02593983830678,2.7178279455293657,0.04037628224398164,0.8899354539453818,0.7747939016445087,0.8641520453539097,6794.675965665236,65.79054512179742,2.6058367621572107,0.04019871823110476,1.1944632128188533,0.9605522373984948,0.7892517811027802,6068_8208,1.5,1.0,0.5,251,2,12,1,251,1,251,0,1,250,12,408,E West Expy E,E,Freeway,0.252460012189,0.0,6068,8208,E,2,65863,6,408,73500,65863,65,67,65.0,0.0041405043817800006,1,6757.186399122211,66.90824248005211,2.6618323538432884,0.0402875002375432,1.0421993333821176,0.8676730695215018,0.8267019132283449,8.818361869248674,-1.376502410376507,1
9,1,11752.179723502304,66.89306930785443,4.898615973401838,0.07881103395788451,7.095243507575263,3.2188665250723867,0.4095674056091541,11707.619870410366,64.25884898684754,5.264290161788392,0.08831768209304736,8.928694675733473,4.032952614212096,0.4116797169015141,6068_8208,3.5,2.5,1.0,251,2,12,1,251,1,251,0,1,250,12,408,E West Expy E,E,Freeway,0.252460012189,0.0,6068,8208,E,2,65863,6,408,73500,65863,65,67,65.0,0.0041405043817800006,1,11729.899796956335,65.57595914735099,5.081453067595115,0.08356435802546594,8.011969091654368,3.6259095696422414,0.4106235612553341,9.369896399152069,-1.376502410376507,1
