,hour,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId
0,0,1911.8531073446327,65.0228025396032,1.2992140779636194,0.02001373366060213,1.3189097139201327,0.41143742031948577,0.31357879872539945,919.4525139664804,63.90162931718362,2.1985816334583292,0.03461591225322209,1.9771420050537971,0.5119147610185001,0.2579708990929137,8581_7010
1,1,980.45197740113,65.21409808400537,1.7394172817596634,0.026692362250313583,0.5668564413560194,0.2486559879016501,0.461008803544204,460.536312849162,65.30710676936609,2.442164275514729,0.03754197415960342,1.0346249170867021,0.34198777789077633,0.3328251088960977,8581_7010
2,2,601.16,65.07603273357968,2.119872619875542,0.03259711757582538,0.2967151884227293,0.1758872208751763,0.7354602575952072,271.66101694915255,65.70949104869362,3.0301448608314776,0.04622065074068484,0.6572220850762122,0.2755153462797984,0.42726634882024805,8581_7010
3,3,483.0,64.85008278867087,2.2555582425706895,0.034800968658857505,0.25867492016446464,0.15570850427615832,0.8462370548702247,218.731843575419,64.55154364366386,3.2063163192422772,0.04972435513561284,0.5988137247287344,0.26492913071644103,0.4569913171180939,8581_7010
4,4,642.7175141242938,65.1148640567426,1.8148417060561837,0.02790978892167233,0.32071392668122206,0.1714578413485192,0.7142189191171764,307.46927374301674,63.52523824800817,2.7172228382663746,0.04279235284312263,0.6678121437408611,0.25116053088425744,0.38333011507622844,8581_7010
5,5,870.8926553672317,65.66508402866614,1.5041588904791139,0.022923636654173792,0.4829748252900399,0.20123948874040223,0.4685310656128953,416.3854748603352,63.92621218077277,2.3483866931359105,0.036841256490436694,0.8836210328171493,0.26794250821243204,0.308773702639538,8581_7010
6,6,1259.553672316384,65.89235735642863,1.3718013807498661,0.02085114545589004,0.8207555757879021,0.27013171262210495,0.35152532328018876,618.4301675977654,63.967162712185704,2.1076958946237436,0.033093182608439534,1.274346027969746,0.3284793121889915,0.261993114743244,8581_7010
7,7,1766.1186440677966,66.41936640301877,1.1685334184673708,0.017612797816109405,1.2224763649967207,0.31171946491108765,0.263018581713024,882.9832402234637,63.93101667183842,1.8392607544266275,0.028878371488660983,1.6948619979765662,0.35822291349360086,0.21351917047259028,8581_7010
8,8,2406.9039548022597,66.26598205505316,1.0178922039307348,0.015395478419836182,1.7529990660733847,0.3755976093807787,0.21934176155298193,1210.3743016759777,63.259339631046394,1.5646424631988674,0.024857742696057634,2.1624573010337316,0.4093722975332389,0.1933831005395266,8581_7010
9,9,3370.875706214689,65.58542436571054,0.9798279571673504,0.014958636134154633,2.5871181998999755,0.5178416946540078,0.20353152151776738,1693.8659217877096,61.72808326342495,1.5482420923978597,0.025366176940666414,2.976806136130543,0.5691203652697336,0.19051117537427667,8581_7010
10,10,5139.412429378531,64.31652039900438,1.0377732605831125,0.01638887632634022,4.074898335370754,0.6503897262203268,0.15894898911974653,2504.2011173184355,58.57713404352887,2.1904073704322706,0.038787555474427436,4.637764148179448,0.9755112783209237,0.19152101018054102,8581_7010
11,11,6013.4915254237285,63.62791749426831,1.48329274876162,0.02566332038706757,4.950696104506495,0.7191127519614684,0.1269569147874779,2888.575418994413,56.39151732350787,2.5518409047427935,0.05007777622554819,5.937344351025718,1.1001755552679455,0.15677786874528676,8581_7010
12,12,5554.858757062147,64.69822420733253,1.2698141658732527,0.02044879686673549,4.35785946052356,0.579902759699903,0.12522444679429115,2648.1787709497207,58.88330198752386,2.3089965101952465,0.041880496569507444,4.979001754336159,0.9217330669655833,0.15925249975565428,8581_7010
13,13,5318.039548022599,65.30911127080098,1.0510054070497417,0.01634246244087808,4.092039046926794,0.4548430735855092,0.10967889470788157,2539.921787709497,60.4241918186848,1.5053898553228495,0.025428102185064753,4.50525469263719,0.5259594109037113,0.11556820296877994,8581_7010
14,14,5500.192090395481,65.44953951498327,1.1220127691155237,0.01804605427829589,4.249659970705167,0.5042502983496131,0.11220134394555557,2622.558659217877,60.5694780457666,1.7099875244943654,0.02911605356456192,4.729367548561351,0.6697068424529067,0.13157437625688206,8581_7010
15,15,5852.790960451977,65.23899435141618,1.2377977937190585,0.02035936073150957,4.57871492531826,0.571528523561186,0.11594493700024966,2811.245810055866,60.09019895715219,1.9304588016924273,0.03399697300947053,5.184028008056084,0.7331430423283832,0.13248099443086964,8581_7010
16,16,6148.169491525424,64.37327463475398,1.8279616270248606,0.03215140702284809,5.033728924095163,0.7959818725820336,0.1351141258953551,2972.541899441341,58.922116243143414,2.634168038902041,0.04967811613894804,5.884766134142127,1.0808276492809228,0.1580582490547463,8581_7010
17,17,6163.045197740113,63.40164298163018,2.095002255881417,0.03962633245429108,5.37116634178038,0.9612337161512213,0.1387174636381097,3032.1005586592178,57.15214362027305,2.780933556963266,0.05511988890962567,6.555788602326764,1.2764464278270276,0.16741345313613107,8581_7010
18,18,5452.819209039548,64.09630966586919,1.4489466130046258,0.02586390073328866,4.457299114676766,0.6675748612262404,0.13607881386579337,2671.7988826815645,58.40038887763749,2.630231125458548,0.049766275661280474,5.452649856154988,1.063647973665107,0.1714021573431686,8581_7010
19,19,4643.74011299435,64.5306560540924,1.124406378311523,0.01761565298691231,3.536949248097166,0.5060964640186174,0.14412159019601908,2241.754189944134,59.789373529192225,1.9643879841692506,0.03375891800708191,4.3354928739470715,0.7075045030205951,0.15480799984172317,8581_7010
20,20,3803.677966101695,64.39904271104812,1.1522453061971738,0.01802021465472088,2.8549123179519267,0.4142237300702587,0.14699338442578333,1853.2625698324023,60.64815529155328,1.8795292853706085,0.03116120751930572,3.6974727017999327,0.5706045374985601,0.15326277135209543,8581_7010
21,21,3452.0790960451977,64.29981818224913,1.0740689505627534,0.01692171593912685,2.5568709694129477,0.38525702485936864,0.15187763612335345,1675.145251396648,61.07761800357426,1.924356749782887,0.032011853640961964,3.43280952335992,0.5539341243893615,0.16306335692272464,8581_7010
