,day,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId
0,0,79680.36559139784,63.92193446927467,5.265394036183335,0.08399974280780223,3.392240544059333,3.8037482866049115,1.0174620656513391,39622.085106382976,61.25994111174812,6.4991155887094685,0.10724080677716295,4.043313410828515,3.643209586431952,0.868193954828378,8581_7010
1,1,77324.35789473684,64.1435699637586,4.815287491430358,0.07665854624873791,3.16440327929896,3.4938625087175104,1.0192008224581077,38020.697916666664,61.694602745105804,6.0557141553983245,0.09895453744006637,3.8577856149866254,3.4367050425995895,0.8636131984957861,8581_7010
2,2,80123.53191489361,63.655326394512194,5.993532929288192,0.09584164541820046,3.489045217774858,4.120203366254311,1.0959914302894966,39442.73684210526,61.11025176411548,7.075532000176464,0.11685192491729744,4.244164176807608,4.007124884619346,0.9204396887789733,8581_7010
3,3,82308.96629213484,63.269384481172125,7.013803942709308,0.11263256109505877,3.7586470621314447,4.752058949092078,1.1796483990768265,40497.444444444445,60.64658460393308,7.532715243540503,0.1252012237809668,4.411915956356413,4.223186351420679,0.9346741791678485,8581_7010
4,4,91721.9247311828,63.0699956425705,6.643244980332845,0.10780161579730634,4.003940581173043,4.3289262237300425,1.0088411694599113,44748.32978723404,59.689741022329095,7.987800948028085,0.13547266591367893,4.812978963012887,4.403549955708103,0.894068206292344,8581_7010
5,5,87935.34065934065,64.91045701456106,2.106862013574882,0.0326404548837393,2.763182505833369,1.827631460882905,0.6537535440172726,41283.282608695656,61.33676576922193,3.9850497538760767,0.06548968602565824,3.344393631190978,2.048840760315864,0.5980309614934417,8581_7010
6,6,78453.97674418605,64.94288481421708,2.5656214908779402,0.039882591875783684,2.5727742676104186,2.0435641768336716,0.7785339583818306,39319.24137931035,61.591634234193435,4.562577314132026,0.07489262354917013,3.251627925272404,2.4190598972904174,0.7275426212753469,8581_7010
7,0,39622.085106382976,61.25994111174812,6.4991155887094685,0.10724080677716295,4.043313410828515,3.643209586431952,0.868193954828378,39470.7311827957,62.4805664787445,8.557830465047894,0.1387805872103022,5.163256303064621,6.3650095950135634,1.1715487101742235,7010_6916
8,1,38020.697916666664,61.694602745105804,6.0557141553983245,0.09895453744006637,3.8577856149866254,3.4367050425995895,0.8636131984957861,38073.15789473684,62.75151260935033,8.208299179306286,0.132450698450645,4.9121412307375145,6.244171031473421,1.1975019919475052,7010_6916
9,2,39442.73684210526,61.11025176411548,7.075532000176464,0.11685192491729744,4.244164176807608,4.007124884619346,0.9204396887789733,39073.38947368421,62.0459008654442,9.803430490224425,0.15972512463315686,5.505881934773074,7.330448691674787,1.2853606155372828,7010_6916
10,3,40497.444444444445,60.64658460393308,7.532715243540503,0.1252012237809668,4.411915956356413,4.223186351420679,0.9346741791678485,40240.455555555556,61.52953236889487,10.470498622253372,0.17195778916040594,5.8706968961149855,7.874104347666281,1.302182074701859,7010_6916
11,4,44748.32978723404,59.689741022329095,7.987800948028085,0.13547266591367893,4.812978963012887,4.403549955708103,0.894068206292344,43698.77659574468,60.6984477186945,10.83196539520648,0.18137720558911674,6.437019558831737,7.864175085946818,1.1817206096009751,7010_6916
