,period,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId
0,0,17868.508620689656,65.03957212361374,1.8909502294756222,0.029099540648091508,1.2251819764597385,0.8584537457623684,0.6980763342773103,8610.586353944564,63.95091679820117,3.173477615097497,0.05004915355499433,1.8520674463580802,1.0970554097494534,0.5822996142568941,8581_7010
1,1,10436.454545454546,65.8814393646211,1.1848496829205237,0.018006472067935157,2.9484623042358593,0.7166120885366478,0.24534216379993012,5099.655246252677,63.46660672511392,1.9008536797681415,0.029974708376922964,3.75523821855056,0.7688650573046962,0.20606138090537715,8581_7010
2,2,18790.060475161987,54.79485355360102,10.755696829281566,0.2396521148925612,10.395915100301671,6.517449573781687,0.5406191154502389,9895.916488222698,49.11673225406638,10.3309312302719,0.22297035780967842,11.519290999138384,5.501523565675154,0.47278684847382435,8581_7010
3,3,35195.924568965514,64.20286085993327,1.9555702716374679,0.03136779617443965,4.546020200090258,1.1075116749348621,0.2250852314890367,16911.170575692962,60.04425502759874,2.753591315228907,0.04735123454925062,5.171951166336427,1.332143966537207,0.24158391610971627,8581_7010
4,0,8610.586353944564,63.95091679820117,3.173477615097497,0.05004915355499433,1.8520674463580802,1.0970554097494534,0.5822996142568941,8769.824411134903,65.37840122930653,2.7210422738078397,0.04179927616938425,1.8394647300564346,1.2381658095583945,0.6490451565420344,7010_6916
5,1,5099.655246252677,63.46660672511392,1.9008536797681415,0.029974708376922964,3.75523821855056,0.7688650573046962,0.20606138090537715,5070.894623655914,65.08807039115979,1.3692531940675567,0.021038543161683732,3.9899052736940583,0.9126596575675269,0.23052656412327974,7010_6916
6,2,9895.916488222698,49.11673225406638,10.3309312302719,0.22297035780967842,11.519290999138384,5.501523565675154,0.47278684847382435,9315.675965665236,44.37311290531513,15.59143690299799,0.3944192036169185,19.090436357210315,11.220760183174733,0.6017558932270187,7010_6916
7,3,16911.170575692962,60.04425502759874,2.753591315228907,0.04735123454925062,5.171951166336427,1.332143966537207,0.24158391610971627,16990.250535331907,62.62369507052443,2.883544900442832,0.04877990659876653,6.317383255226896,1.8969544423792133,0.26362330394653327,7010_6916
8,0,8769.824411134903,65.37840122930653,2.7210422738078397,0.04179927616938425,1.8394647300564346,1.2381658095583945,0.6490451565420344,8868.90364025696,73.68620664979424,2.3507980475175243,0.03201790500774321,2.583612537136727,1.7913475177003342,0.6866350166825844,6916_6959
9,1,5070.894623655914,65.08807039115979,1.3692531940675567,0.021038543161683732,3.9899052736940583,0.9126596575675269,0.23052656412327974,5113.3125,74.15876778151396,1.3797324410651282,0.0188157542384137,6.035410316744832,1.4958514248244386,0.24607391834535766,6916_6959
10,2,9315.675965665236,44.37311290531513,15.59143690299799,0.3944192036169185,19.090436357210315,11.220760183174733,0.6017558932270187,9394.06008583691,56.84935051065012,13.481317790449024,0.2513715382295276,17.499920397194394,7.277093068355282,0.4154538065578169,6916_6959
11,3,16990.250535331907,62.62369507052443,2.883544900442832,0.04877990659876653,6.317383255226896,1.8969544423792133,0.26362330394653327,17171.963597430407,71.32561285856565,3.4135485229743447,0.0504777569971885,9.540690005823222,2.381032873656337,0.2359088935387966,6916_6959
12,0,4442.599147121535,71.00279872580286,2.5813398098980684,0.03638198817648083,1.4133313934725285,0.9777781265378706,0.6829607744638989,17868.508620689656,65.03957212361374,1.8909502294756222,0.029099540648091508,1.2251819764597385,0.8584537457623684,0.6980763342773103,6044_8581
13,1,3576.6431623931626,73.05241696842556,1.163948166529126,0.015957934637667367,4.4332890450498,1.00546846157106,0.23021737145694177,10436.454545454546,65.8814393646211,1.1848496829205237,0.018006472067935157,2.9484623042358593,0.7166120885366478,0.24534216379993012,6044_8581
14,2,5236.846153846154,63.99839043351199,10.769094180149754,0.2190827205440627,10.733648678567654,6.693190079702665,0.5107294725684614,18790.060475161987,54.79485355360102,10.755696829281566,0.2396521148925612,10.395915100301671,6.517449573781687,0.5406191154502389,6044_8581
15,3,11045.910447761195,71.74408693507766,2.0553751428493774,0.02945277118411487,6.164998313659605,1.4268638086664969,0.21946656307602547,35195.924568965514,64.20286085993327,1.9555702716374679,0.03136779617443965,4.546020200090258,1.1075116749348621,0.2250852314890367,6044_8581
