,hour,VolumeUp,AvgSpeedUp,StdSpeedUp,CoefOfVarSpeedUp,AvgOccupancyUp,StdOccupancyUp,CoefOfVarOccupancyUp,VolumeDown,AvgSpeedDown,StdSpeedDown,CoefOfVarSpeedDown,AvgOccupancyDown,StdOccupancyDown,CoefOfVarOccupancyDown,SegmentId
0,0,1189.8091106290672,64.94314829429611,1.5571197864110717,0.024001832598906973,0.8253003930308322,0.2917537273870321,0.3630420400011887,572.4206008583691,64.95443367454286,2.3692204819222304,0.03664205982225546,1.4047543943253666,0.42396576539039993,0.3041116684825223,8581_7010
1,1,626.9674620390456,64.83655270918614,2.0589058643867384,0.03178122933072621,0.4035815605736538,0.20047614404916406,0.6025968327938753,288.75321888412014,65.60290986164134,2.8408825091235594,0.04344519119991672,0.8319132240354495,0.3297997862163778,0.4089780831318105,8581_7010
2,2,417.26681127982647,64.90368894483557,2.4637869290638523,0.037967312592892606,0.306951302319197,0.1883591751977089,0.8835011462740404,186.51502145922746,65.92589769984495,3.3237741263692837,0.050556512425331705,0.6922250090453108,0.33498526807736123,0.5009717124506669,8581_7010
3,3,419.08676789587855,65.07620838824687,2.3098134645129322,0.03549932532776039,0.3454681441375857,0.20099211723559685,0.796792838923628,194.46781115879827,64.9952112017489,3.2016576854871133,0.04946879271540945,0.73399973692119,0.3391104043225442,0.4750166685542413,8581_7010
4,4,719.7375271149674,65.53994848926152,1.7162169889700123,0.026212915222962964,0.5163167724445655,0.22566386872252084,0.5011889761872169,356.1909871244635,64.65292461994942,2.580146358807396,0.04006564703199524,0.9832290650092662,0.3444988602700415,0.35840127623401247,8581_7010
5,5,1436.5921908893708,66.27228757978568,1.3178294228578442,0.019911306692209647,1.1637149298933527,0.39668021502443657,0.3536600239904849,702.0793991416309,65.05241322715875,1.9949555435488222,0.03074412347421948,1.807494174455186,0.514151160766224,0.28707756547468,8581_7010
6,6,2677.8008658008657,66.32418497877114,1.1169431839643387,0.016878694117889188,2.2510234141236936,0.41821124165815887,0.1919397643886654,1308.4860813704497,64.44679019113357,1.6929280062526706,0.026285750560018837,3.120113369189986,0.5749121801327892,0.1858103413990067,8581_7010
7,7,3625.5887445887447,65.95123805317428,1.036753867775308,0.015743131653190617,3.0654744447738893,0.5258424213734262,0.17293965882527737,1784.5610278372592,63.52196808952846,1.633551035153469,0.02574403386140238,3.971510284282265,0.659739351675948,0.16748185071174626,8581_7010
8,8,4142.030368763558,65.36666316521705,0.9543885192289223,0.014607113473620715,3.5299138590283623,0.42907121124440484,0.12492509652494005,2010.9141630901288,62.4233362936438,1.497284617064805,0.023988764460224833,4.173196585519924,0.5447699077317367,0.1328181042804521,8581_7010
9,9,4479.542299349241,64.36069505446125,0.9137567193401831,0.014239590224499015,3.9669244408139637,0.4780494623508042,0.1235463414103021,2159.9763948497853,60.6688672533627,1.4096735738169817,0.023339088311883503,4.417568670088179,0.5689939529612624,0.13051960717455624,8581_7010
10,10,4858.688311688312,63.707962930542635,0.9683200135093682,0.015530017277656785,4.389924351474598,0.5386287410857107,0.120313192291756,2353.164882226981,59.16898251730964,1.5544602436699702,0.026845752424299273,4.867289857532143,0.6527758280949659,0.1310181226822233,8581_7010
11,11,5010.04535637149,63.59304246140183,1.1776994578694044,0.019651683115572856,4.609744646898838,0.6025337255502334,0.12211739997518042,2418.948608137045,58.841084605818686,1.6670205263502396,0.029525478352126756,5.193824902366282,0.713428510942968,0.13047017379782433,8581_7010
12,12,4745.507559395249,64.36429959213089,1.1249453205116537,0.017815113063701787,4.199247632311563,0.5322629941556459,0.12463022828982924,2260.6239316239316,60.303201379787396,1.6747386872212615,0.02858647399944908,4.780661348771776,0.6455488820991556,0.1311170037394884,8581_7010
13,13,4664.969696969697,64.81462627055296,1.1387315217014762,0.018263379599892302,4.074088032286723,0.5450943113108045,0.12861937664313428,2228.264957264957,61.14952440545068,1.5733188677542875,0.026462102148603672,4.6629962768049715,0.643751522876397,0.13439568549217895,8581_7010
14,14,5273.134199134199,64.881145651376,1.1411697359488273,0.018329464778982823,4.592992178374983,0.623155121694692,0.13030806150052035,2513.8846153846152,61.107894371950316,1.647026333717145,0.028114783184047715,5.269002992115713,0.774941014399881,0.14061255684006205,8581_7010
15,15,6291.362850971922,63.69414024511028,1.9730707969633408,0.03807627984339699,6.001481409646532,1.1385544535048902,0.15162452784436892,3031.869658119658,59.02006915494382,2.7208434915578663,0.05161648420088927,6.996516465486084,1.3731802917995874,0.1736510110570728,8581_7010
16,16,6986.855291576674,57.936521470697244,4.837573353305145,0.11061830931070323,9.18407108623261,2.729139604253169,0.22539153726146532,3515.950749464668,52.04579512194731,4.9566568675332,0.1048372283111332,10.616234612199417,2.6753640382087935,0.2361157956720157,8581_7010
17,17,6825.717062634989,45.99374909682149,7.826336822491529,0.2306034782247667,15.76319716636294,5.326904817158117,0.3087554720042471,3761.0985010706636,40.615972613402604,5.456883334979932,0.1347504000070926,16.051563921636397,3.425030881905081,0.22665138713143965,8581_7010
18,18,4977.488120950324,60.47262106430695,5.7496638371737925,0.12052884217242003,6.231378213716301,3.306709144671558,0.38791718268028236,2618.867237687366,54.699479188577676,7.297920385435089,0.14845773694854075,7.884024083539196,3.832467911469484,0.43614191894976245,8581_7010
19,19,3510.9978354978357,64.9916571247637,1.131410096246448,0.017839416488560404,2.7121292593084774,0.4991433484341922,0.1777874257824961,1698.538626609442,61.94025027220731,1.8105599181149892,0.02980098665573447,3.5077029416053995,0.6371800453142229,0.17584692665798024,8581_7010
20,20,2732.287878787879,64.68294183310418,1.200409563520645,0.01862397695964688,2.0096755811158173,0.35340746608007534,0.1789603833623845,1309.5021459227469,62.23743897301699,1.9070394765992797,0.030700141250057586,2.7607540496569634,0.46415839437196393,0.1703164385386538,8581_7010
21,21,2500.8120950323973,64.6705868449325,1.0850482136386692,0.016810799517667247,1.8529577633387246,0.33133726925643436,0.18336516594744234,1216.2334047109207,62.250194101063066,1.9792465599632854,0.03225679338902017,2.7180099274841094,0.4915205103733507,0.18016264289451167,8581_7010
22,22,2314.0842332613393,64.62856797222557,1.1398593506688683,0.017682625308591868,1.7417421907981232,0.3446490908676981,0.20538114469061916,1117.4197002141327,62.47206032942562,1.998335571895416,0.03281191512201508,2.596466932537295,0.5285205901019737,0.19471610586987917,8581_7010
23,23,2073.719222462203,64.91964155648758,1.2170252084561477,0.01876531561175715,1.5805809847352803,0.32972585787200365,0.21723605886921576,1016.7087794432548,63.432598714588664,1.9849909354536492,0.03141549381580517,2.3350892193471036,0.46866708122112427,0.20177973463835422,8581_7010
24,0,572.4206008583691,64.95443367454286,2.3692204819222304,0.03664205982225546,1.4047543943253666,0.42396576539039993,0.3041116684825223,592.9849462365592,65.95053875186944,2.0386789332309254,0.031043035235564675,1.30085872112754,0.40580533610492137,0.31494210697416797,7010_6916
25,1,288.75321888412014,65.60290986164134,2.8408825091235594,0.04344519119991672,0.8319132240354495,0.3297997862163778,0.4089780831318105,306.8709677419355,66.82859814468688,2.5435096026025446,0.038056283042477934,0.7157269875683849,0.2837736336619033,0.41513669459909963,7010_6916
26,2,186.51502145922746,65.92589769984495,3.3237741263692837,0.050556512425331705,0.6922250090453108,0.33498526807736123,0.5009717124506669,201.07956989247313,67.29443004645701,2.919056476222859,0.04342069615579955,0.570878086767872,0.2791641958427099,0.5116353284383515,7010_6916
27,3,194.46781115879827,64.9952112017489,3.2016576854871133,0.04946879271540945,0.73399973692119,0.3391104043225442,0.4750166685542413,206.67956989247313,66.53121437121887,2.8029261825665577,0.04220980805877503,0.6203952855520959,0.29038707915122447,0.48390215412026993,7010_6916
28,4,356.1909871244635,64.65292461994942,2.580146358807396,0.04006564703199524,0.9832290650092662,0.3444988602700415,0.35840127623401247,365.10967741935485,66.25125691960372,2.1251510165360536,0.03214128309674598,0.8772968862081769,0.31317534196527025,0.36526687281859904,7010_6916
29,5,702.0793991416309,65.05241322715875,1.9949555435488222,0.03074412347421948,1.807494174455186,0.514151160766224,0.28707756547468,696.4924731182796,66.22190395750206,1.703022814363474,0.025754260460056137,1.7200294443708415,0.5085260944643611,0.29609021713544303,7010_6916
30,6,1308.4860813704497,64.44679019113357,1.6929280062526706,0.026285750560018837,3.120113369189986,0.5749121801327892,0.1858103413990067,1298.6537634408603,65.33668593055688,1.4108598630296498,0.021602954059465537,3.1101174942640006,0.5535573860154809,0.18009363912543613,7010_6916
31,7,1784.5610278372592,63.52196808952846,1.633551035153469,0.02574403386140238,3.971510284282265,0.659739351675948,0.16748185071174626,1769.989247311828,65.21058686435032,1.2623072466096994,0.01935521777808795,4.154399269090126,0.6704358287939426,0.16300617042869014,7010_6916
32,8,2010.9141630901288,62.4233362936438,1.497284617064805,0.023988764460224833,4.173196585519924,0.5447699077317367,0.1328181042804521,2006.5668103448277,64.71445862887755,1.110903684767048,0.017158466999769802,4.70758522705312,0.5606344051240534,0.12207220430819445,7010_6916
33,9,2159.9763948497853,60.6688672533627,1.4096735738169817,0.023339088311883503,4.417568670088179,0.5689939529612624,0.13051960717455624,2158.709051724138,63.697981237662056,1.0512750046349673,0.016598333470534975,5.289103634997136,0.6213065808702424,0.1192477589209601,7010_6916
34,10,2353.164882226981,59.16898251730964,1.5544602436699702,0.026845752424299273,4.867289857532143,0.6527758280949659,0.1310181226822233,2364.148387096774,62.756627646547045,1.1295184955631494,0.0187735268106091,5.937594873266915,0.7182496034684653,0.11660010424099354,7010_6916
35,11,2418.948608137045,58.841084605818686,1.6670205263502396,0.029525478352126756,5.193824902366282,0.713428510942968,0.13047017379782433,2439.385775862069,62.2321393578218,1.3397708180470431,0.023536153378601012,6.352069081541064,0.7929018194187712,0.11556239377711666,7010_6916
36,12,2260.6239316239316,60.303201379787396,1.6747386872212615,0.02858647399944908,4.780661348771776,0.6455488820991556,0.1311170037394884,2283.6494623655913,62.95416963263737,1.4044668434072478,0.024258340474864148,5.832297717217078,0.7879120442450818,0.12297202544394492,7010_6916
37,13,2228.264957264957,61.14952440545068,1.5733188677542875,0.026462102148603672,4.6629962768049715,0.643751522876397,0.13439568549217895,2246.1247311827956,63.51640374684055,1.2922012694807046,0.021862144674342988,5.533504751421418,0.7104331246028865,0.12168622235955288,7010_6916
38,14,2513.8846153846152,61.107894371950316,1.647026333717145,0.028114783184047715,5.269002992115713,0.774941014399881,0.14061255684006205,2537.3182795698926,63.19400459158523,1.5072926640991489,0.02656857478471852,6.280121846492813,0.9203042671629723,0.1317334722893811,7010_6916
39,15,3031.869658119658,59.02006915494382,2.7208434915578663,0.05161648420088927,6.996516465486084,1.3731802917995874,0.1736510110570728,3037.3476394849786,60.03969267142014,3.2824761902059554,0.06951811315494155,8.988784242700559,2.1178075642879914,0.18675617934303482,7010_6916
40,16,3515.950749464668,52.04579512194731,4.9566568675332,0.1048372283111332,10.616234612199417,2.6753640382087935,0.2361157956720157,3383.763948497854,49.323938693936,7.3349439348486705,0.18412833957099684,16.091753043590497,5.092352562842772,0.2899406550557366,7010_6916
41,17,3761.0985010706636,40.615972613402604,5.456883334979932,0.1347504000070926,16.051563921636397,3.425030881905081,0.22665138713143965,3385.75321888412,31.12212046169933,8.325818122100612,0.28289172761030024,28.958417235978928,7.144331101300597,0.27473783374440747,7010_6916
42,18,2618.867237687366,54.699479188577676,7.297920385435089,0.14845773694854075,7.884024083539196,3.832467911469484,0.43614191894976245,2546.1587982832616,52.6903113318886,10.964549659886037,0.24844598759263747,12.20946735667765,7.487547545228093,0.571925185002107,7010_6916
43,19,1698.538626609442,61.94025027220731,1.8105599181149892,0.02980098665573447,3.5077029416053995,0.6371800453142229,0.17584692665798024,1711.8752688172044,63.81004616808913,1.5312043331619751,0.02509723325026653,3.886039834717254,0.7273520880297788,0.1752703486055657,7010_6916
44,20,1309.5021459227469,62.23743897301699,1.9070394765992797,0.030700141250057586,2.7607540496569634,0.46415839437196393,0.1703164385386538,1324.494623655914,63.828631367751605,1.5241518637232077,0.02393147130431663,2.8610858072648195,0.462242044590616,0.1633019257034117,7010_6916
45,21,1216.2334047109207,62.250194101063066,1.9792465599632854,0.03225679338902017,2.7180099274841094,0.4915205103733507,0.18016264289451167,1224.25321888412,63.951362025425695,1.5038165869285396,0.023606059335602874,2.7246614947385535,0.4581853113841054,0.16658587819281034,7010_6916
46,22,1117.4197002141327,62.47206032942562,1.998335571895416,0.03281191512201508,2.596466932537295,0.5285205901019737,0.19471610586987917,1134.9570815450643,63.884475491849734,1.5740265498121109,0.026375889392064148,2.6458274982575087,0.5158828714857785,0.18388843788984435,7010_6916
47,23,1016.7087794432548,63.432598714588664,1.9849909354536492,0.03141549381580517,2.3350892193471036,0.46866708122112427,0.20177973463835422,1035.4463519313306,64.6347286531982,1.5988508704605762,0.02477692109032333,2.3142654865672334,0.45021649324010826,0.19460274063720215,7010_6916
48,0,592.9849462365592,65.95053875186944,2.0386789332309254,0.031043035235564675,1.30085872112754,0.40580533610492137,0.31494210697416797,605.2786177105831,74.29411597072237,1.8050420667301776,0.02513224373684147,1.7605215868444806,0.5751341298323741,0.3117674390531042,6916_6959
49,1,306.8709677419355,66.82859814468688,2.5435096026025446,0.038056283042477934,0.7157269875683849,0.2837736336619033,0.41513669459909963,312.97408207343415,74.00786358519893,2.41562952042533,0.03278233650081224,0.8920972860632689,0.35713579615987423,0.40830922094796607,6916_6959
50,2,201.07956989247313,67.29443004645701,2.919056476222859,0.04342069615579955,0.570878086767872,0.2791641958427099,0.5116353284383515,204.07127429805615,73.72535125761372,2.937928694500443,0.03988209469650754,0.6706343102941379,0.3102754294563557,0.4828772736135888,6916_6959
51,3,206.67956989247313,66.53121437121887,2.8029261825665577,0.04220980805877503,0.6203952855520959,0.29038707915122447,0.48390215412026993,210.01295896328293,72.93448044719189,2.715126913586185,0.03723989535645166,0.7539594646281113,0.339819485557425,0.46350896606233255,6916_6959
52,4,365.10967741935485,66.25125691960372,2.1251510165360536,0.03214128309674598,0.8772968862081769,0.31317534196527025,0.36526687281859904,371.41900647948165,73.76539565795778,1.8694339066562982,0.025363018345071323,1.1679291760555255,0.41029363482652675,0.35761414488793736,6916_6959
53,5,696.4924731182796,66.22190395750206,1.703022814363474,0.025754260460056137,1.7200294443708415,0.5085260944643611,0.29609021713544303,707.0453563714902,74.42077840915579,1.3751446829943146,0.018509734982624947,2.4031386774772314,0.7243052073072397,0.30167176213088437,6916_6959
54,6,1298.6537634408603,65.33668593055688,1.4108598630296498,0.021602954059465537,3.1101174942640006,0.5535573860154809,0.18009363912543613,1310.0,74.36682729667338,1.2670653195015467,0.01754812344948942,4.603416940930441,0.8602873959979981,0.18283780226353483,6916_6959
55,7,1769.989247311828,65.21058686435032,1.2623072466096994,0.01935521777808795,4.154399269090126,0.6704358287939426,0.16300617042869014,1786.5939524838013,74.37731651467882,1.1524521058529007,0.015542601396550107,6.254207463402927,1.0270508314852846,0.16500527371692253,6916_6959
56,8,2006.5668103448277,64.71445862887755,1.110903684767048,0.017158466999769802,4.70758522705312,0.5606344051240534,0.12207220430819445,2027.7624190064794,73.73127696147941,1.2071550385490752,0.016890522711695437,7.249176747678368,0.879143907375953,0.1214543083524053,6916_6959
57,9,2158.709051724138,63.697981237662056,1.0512750046349673,0.016598333470534975,5.289103634997136,0.6213065808702424,0.1192477589209601,2182.5658747300217,72.47157041073076,1.2313541565201844,0.01792619137471001,8.167607336867597,1.0002753585405002,0.12168448504116551,6916_6959
58,10,2364.148387096774,62.756627646547045,1.1295184955631494,0.0187735268106091,5.937594873266915,0.7182496034684653,0.11660010424099354,2390.243010752688,71.54534946236562,1.3936616066453924,0.020630180101127344,9.100517622461169,1.0951267259004211,0.1179012342689671,6916_6959
59,11,2439.385775862069,62.2321393578218,1.3397708180470431,0.023536153378601012,6.352069081541064,0.7929018194187712,0.11556239377711666,2466.505376344086,70.86700657108724,1.7982264743193952,0.02809923467175917,9.662172540820393,1.2257905913991824,0.11980492052307962,6916_6959
60,12,2283.6494623655913,62.95416963263737,1.4044668434072478,0.024258340474864148,5.832297717217078,0.7879120442450818,0.12297202544394492,2317.7526881720432,71.67130471380474,1.7598833263543636,0.02690212008239073,8.922599064117875,1.2048513852216824,0.12664279244820473,6916_6959
61,13,2246.1247311827956,63.51640374684055,1.2922012694807046,0.021862144674342988,5.533504751421418,0.7104331246028865,0.12168622235955288,2273.2043010752686,72.48609681686297,1.532870678586691,0.022540624691497733,8.494321058769977,1.0933877597104358,0.12395788304883415,6916_6959
62,14,2537.3182795698926,63.19400459158523,1.5072926640991489,0.02656857478471852,6.280121846492813,0.9203042671629723,0.1317334722893811,2555.568669527897,71.92533082975685,1.8163395921197962,0.028035527240015984,9.63613996726926,1.3568648441516107,0.13307055951956892,6916_6959
63,15,3037.3476394849786,60.03969267142014,3.2824761902059554,0.06951811315494155,8.988784242700559,2.1178075642879914,0.18675617934303482,3050.7516059957175,68.51396917966247,3.7743043826584968,0.06595772129507359,12.682106485987648,2.372961258103142,0.16779573482846863,6916_6959
64,16,3383.763948497854,49.323938693936,7.3349439348486705,0.18412833957099684,16.091753043590497,5.092352562842772,0.2899406550557366,3389.980686695279,59.85998201796216,7.933236885266971,0.15291050788784438,17.29623519710696,4.169797782238322,0.22378673434798135,6916_6959
65,17,3385.75321888412,31.12212046169933,8.325818122100612,0.28289172761030024,28.958417235978928,7.144331101300597,0.27473783374440747,3392.6888412017165,48.329802992370006,9.909295969466333,0.21704816752350575,21.995900393419152,5.499901821945068,0.25062661757301635,6916_6959
66,18,2546.1587982832616,52.6903113318886,10.964549659886037,0.24844598759263747,12.20946735667765,7.487547545228093,0.571925185002107,2617.006451612903,62.34860463958588,10.394711545846366,0.18704594854905598,13.203635503783355,5.811832114925018,0.42249110720978544,6916_6959
67,19,1711.8752688172044,63.81004616808913,1.5312043331619751,0.02509723325026653,3.886039834717254,0.7273520880297788,0.1752703486055657,1730.4655172413793,73.41411808458149,1.6377537763619667,0.023193278697368713,5.692503356118657,1.066537087218558,0.17688912833355783,6916_6959
68,20,1324.494623655914,63.828631367751605,1.5241518637232077,0.02393147130431663,2.8610858072648195,0.462242044590616,0.1633019257034117,1345.7629310344828,73.29031514213357,1.4662140074321819,0.02021826070212347,4.262586168022588,0.6884812465361241,0.16124426247236706,6916_6959
69,21,1224.25321888412,63.951362025425695,1.5038165869285396,0.023606059335602874,2.7246614947385535,0.4581853113841054,0.16658587819281034,1235.6666666666667,73.3933505575468,1.241250551385402,0.01697404647438441,3.841075938597445,0.5941560945192734,0.15799988944316995,6916_6959
70,22,1134.9570815450643,63.884475491849734,1.5740265498121109,0.026375889392064148,2.6458274982575087,0.5158828714857785,0.18388843788984435,1152.9225806451614,73.39210648083498,1.3733276573388384,0.018934119735750203,3.6098439153439146,0.626866007229071,0.17676496124883373,6916_6959
71,23,1035.4463519313306,64.6347286531982,1.5988508704605762,0.02477692109032333,2.3142654865672334,0.45021649324010826,0.19460274063720215,1048.415053763441,73.93343522914762,1.5247667449869915,0.021340148956373588,3.2782155593311493,0.6369885999701337,0.1894557105298011,6916_6959
72,0,204.49892933618844,70.38875739267868,2.3842903180742443,0.03391937201357502,0.7046867033751403,0.34085653136884925,0.5001993389500314,1189.8091106290672,64.94314829429611,1.5571197864110717,0.024001832598906973,0.8253003930308322,0.2917537273870321,0.3630420400011887,6044_8581
73,1,119.52676659528908,69.90772697789558,3.1015245712564066,0.044414654864381294,0.5378890361759742,0.32252854533805764,0.6345612463883685,626.9674620390456,64.83655270918614,2.0589058643867384,0.03178122933072621,0.4035815605736538,0.20047614404916406,0.6025968327938753,6044_8581
