FID,OBJECTID_1,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,OBJECTID_2,Join_Cou_3,TARGET_F_3,OBJECTID,RoadNumber,RoadName,Direction,Roadtype,Shape_Leng,zone_id_st,Shape_Le_1,Up_zone,Down_zone,Direction_,F_System,Urban_Code,ThruLanes,Route_Numb,AADT,Urban_Co_1,Speed_Limi,IRI,SPEED,Shape_Le_2
28,29,2,29,1,29,1,29,30,1,28,30,417,FL-417 N,N,Freeway,0.346143731086000,8540_8538,0.005037469322080,8540,8538,N,2,65863,4,417,82000,65863,70,66,70.000000000000000,0.005037469322080
29,30,2,30,1,30,1,30,31,1,29,31,417,FL-417 N,N,Freeway,0.587651023412000,8538_6642,0.008552073473790,8538,6642,N,2,65863,4,417,82000,65863,70,52,70.000000000000000,0.008552073473790
30,31,2,31,1,31,1,31,32,1,30,32,417,FL-417 N,N,Freeway,0.695213701280000,8533_8540,0.010179524767200,8533,8540,N,2,65863,4,417,82000,65863,70,89,70.000000000000000,0.010179524767200
31,32,2,32,1,32,1,32,33,1,31,33,417,FL-417 N,N,Freeway,0.351001785864000,8531_8533,0.005346599803850,8531,8533,N,2,65863,4,417,82000,65863,70,101,70.000000000000000,0.005346599803850
32,33,2,33,1,33,1,33,34,1,32,34,417,FL-417 N,N,Freeway,1.109017602130000,7993_7091,0.016125636869600,7993,7091,E,2,65863,4,528,73393,65863,70,76,70.000000000000000,0.016125636869600
33,34,2,34,1,34,1,34,35,1,33,35,417,FL-417 N,N,Freeway,0.088467161331000,7091_6173,0.001299449759740,7091,6173,N,2,65863,4,417,82802,65863,70,52,70.000000000000000,0.001299449759740
34,35,2,35,1,35,1,35,36,1,34,36,417,FL-417 N,N,Freeway,0.464525947666000,6642_7993,0.006760513474420,6642,7993,N,2,65863,4,417,82000,65863,70,44,70.000000000000000,0.006760513474420
35,36,2,36,1,36,1,36,37,1,35,37,417,FL-417 N,N,Freeway,1.132370520900000,6173_8544,0.016793898701000,6173,8544,N,2,65863,6,417,96500,65863,70,52,70.000000000000000,0.016793898701000
36,37,2,37,1,37,1,37,38,1,36,38,417,FL-417 N,N,Freeway,0.414658818261000,8557_8553,0.006139500484810,8557,8553,N,2,65863,6,417,96944,65863,70,50,70.000000000000000,0.006139500484810
37,38,2,38,1,38,1,38,39,1,37,39,417,FL-417 N,N,Freeway,1.054760073770000,8553_6689,0.015350198988500,8553,6689,N,2,65863,4,417,97500,65863,70,52,70.000000000000000,0.015350198988500
38,39,2,39,1,39,1,39,40,1,38,40,417,FL-417 N,N,Freeway,0.597959122964000,8544_8386,0.008744304166820,8544,8386,N,2,65863,6,417,96500,65863,70,57,70.000000000000000,0.008744304166820
39,40,2,40,1,40,1,40,41,1,39,41,417,FL-417 N,N,Freeway,0.243574754200000,8386_6314,0.003562763201360,8386,6314,N,2,65863,6,417,96500,65863,70,49,70.000000000000000,0.003562763201360
40,41,2,41,1,41,1,41,42,1,40,42,417,FL-417 N,N,Freeway,1.026630322320000,6965_8557,0.015074414342400,6965,8557,N,2,65863,6,417,96500,65863,70,52,70.000000000000000,0.015074414342400
41,42,2,42,1,42,1,42,43,1,41,43,417,FL-417 N,N,Freeway,0.204037806176000,6315_6965,0.002971127159670,6315,6965,N,2,65863,6,417,96500,65863,70,51,70.000000000000000,0.002971127159670
42,43,2,43,1,43,1,43,44,1,42,44,417,FL-417 N,N,Freeway,0.395918647817000,6314_6315,0.005789666982880,6314,6315,N,2,65863,6,417,96500,65863,70,46,70.000000000000000,0.005789666982880
43,44,2,44,1,44,1,44,45,1,43,45,417,FL-417 N,N,Freeway,0.401925833537000,6035_2529,0.006089204101720,6035,2529,N,2,65863,4,417,97500,65863,70,0,70.000000000000000,0.006089204101720
44,45,2,45,1,45,1,45,46,1,44,46,417,FL-417 N,N,Freeway,0.029611931008400,6035_11878,0.000435862153195,6035,11878,N,2,65863,4,417,97500,65863,70,0,70.000000000000000,0.000435862153195
45,46,2,46,1,46,1,46,47,1,45,47,417,FL-417 N,N,Freeway,0.639957559946000,11876_8570,0.009904123699530,11876,8570,E,2,65863,5,408,74500,65863,65,64,70.000000000000000,0.009904123699530
46,47,2,47,1,47,1,47,48,1,46,48,417,FL-417 N,N,Freeway,0.312125223583000,8570_6966,0.004800517375890,8570,6966,N,2,65863,6,417,71707,65863,70,68,70.000000000000000,0.004800517375890
47,48,2,48,1,48,1,48,49,1,47,49,417,FL-417 N,N,Freeway,0.535070828701000,6966_8451,0.007832138802380,6966,8451,N,2,65863,6,417,65522,65863,70,54,70.000000000000000,0.007832138802380
48,49,2,49,1,49,1,49,50,1,48,50,417,FL-417 N,N,Freeway,0.708119261130000,6689_11878,0.010298923746600,6689,11878,N,2,65863,4,417,97500,65863,70,0,70.000000000000000,0.010298923746600
49,50,2,50,1,50,1,50,51,1,49,51,417,FL-417 N,N,Freeway,0.155378793407000,2529_11876,0.002400786850030,2529,11876,N,2,65863,6,417,71707,65863,70,0,70.000000000000000,0.002400786850030
50,51,2,51,1,51,1,51,52,1,50,52,417,FL-417 N,N,Freeway,0.203902815064000,8585_8449,0.003020283145290,8585,8449,N,2,65863,5,417,86381,65863,70,53,70.000000000000000,0.003020283145290
51,52,2,52,1,52,1,52,53,1,51,53,417,FL-417 N,N,Freeway,0.594179916877000,8451_2531,0.008685895111420,8451,2531,W,3,65863,6,50,56410,65863,70,83,70.000000000000000,0.008685895111420
52,53,2,53,1,53,1,53,54,1,52,54,417,FL-417 N,N,Freeway,0.300087360572000,8120_8585,0.004379235007220,8120,8585,N,2,65863,5,417,86381,65863,70,46,70.000000000000000,0.004379235007220
53,54,2,54,1,54,1,54,55,1,53,55,417,FL-417 N,N,Freeway,0.332452042552000,6318_8120,0.005027195689810,6318,8120,N,2,65863,5,417,91500,65863,70,39,70.000000000000000,0.005027195689810
54,55,2,55,1,55,1,55,56,1,54,56,417,FL-417 N,N,Freeway,0.456139977588000,6317_6318,0.006939068769350,6317,6318,N,2,65863,4,417,91500,65863,70,52,70.000000000000000,0.006939068769350
55,56,2,56,1,56,1,56,57,1,55,57,417,FL-417 N,N,Freeway,0.347968123899000,6046_6317,0.005290777815790,6046,6317,N,2,65863,4,417,91500,65863,70,43,70.000000000000000,0.005290777815790
56,57,2,57,1,57,1,57,58,1,56,58,417,FL-417 N,N,Freeway,0.608960742813000,2531_6046,0.009073901280160,2531,6046,N,2,65863,6,417,91500,65863,70,67,70.000000000000000,0.009073901280160
57,58,2,58,1,58,1,58,59,1,57,59,417,FL-417 N,N,Freeway,0.298582865245000,8449_5988,0.004553855198230,8449,5988,N,2,65863,5,417,78344,65863,70,41,70.000000000000000,0.004553855198230
58,59,2,60,1,59,1,59,61,1,58,61,417,FL-417 N,N,Freeway,0.550440804664000,5988_6758,0.008268874990390,5988,6758,N,2,65863,5,417,78344,65863,70,39,70.000000000000000,0.008268874990390
59,60,2,2,1,60,1,60,0,1,59,2,417,FL-417 S,S,Freeway,0.343773470434000,8579_6492,0.000000000000000,8579,6492,W,2,45451,4,417,42940,45451,65,57,65.000000000000000,0.005633638025140
60,61,2,3,1,61,1,61,0,1,60,3,417,FL-417 S,S,Freeway,0.341332374707000,6889_6071,0.000000000000000,6889,6071,W,2,45451,4,417,69500,45451,70,0,70.000000000000000,0.005568503595930
61,62,2,5,1,62,1,62,0,1,61,5,417,FL-417 S,S,Freeway,0.925204561863000,6071_8579,0.000000000000000,6071,8579,W,2,45451,4,417,69500,45451,70,0,70.000000000000000,0.015060591506600
62,63,2,6,1,63,1,63,0,1,62,6,417,FL-417 S,S,Freeway,1.316674830780000,8292_6975,0.000000000000000,8292,6975,W,2,45451,4,417,69500,45451,70,0,70.000000000000000,0.020785421668100
63,64,2,7,1,64,1,64,0,1,63,7,417,FL-417 S,S,Freeway,0.904211933125000,8290_8292,0.000000000000000,8290,8292,S,3,45451,6,0,76000,45451,70,0,70.000000000000000,0.014383935776000
64,65,2,8,1,65,1,65,0,1,64,8,417,FL-417 S,S,Freeway,0.453181851131000,8277_8290,0.000000000000000,8277,8290,W,2,45451,4,417,48500,45451,70,0,70.000000000000000,0.007427369034280
65,66,2,9,1,66,1,66,0,1,65,9,417,FL-417 S,S,Freeway,0.555496929504000,6975_6889,0.000000000000000,6975,6889,W,2,45451,4,417,69500,45451,70,0,70.000000000000000,0.009061036913050
66,67,2,10,1,67,1,67,0,1,66,10,417,FL-417 S,S,Freeway,0.546637497002000,9176_7090,0.000000000000000,9176,7090,W,2,45451,4,417,49500,45451,70,0,70.000000000000000,0.008977531572120
67,68,2,11,1,68,1,68,0,1,67,11,417,FL-417 S,S,Freeway,0.502781157042000,8486_9176,0.000000000000000,8486,9176,W,2,45451,4,417,49500,45451,70,0,70.000000000000000,0.008257142353640
68,69,2,12,1,69,1,69,0,1,68,12,417,FL-417 S,S,Freeway,0.436479903560000,8283_8277,0.000000000000000,8283,8277,W,2,45451,4,417,48687,45451,70,0,70.000000000000000,0.007053503578650
69,70,2,13,1,70,1,70,0,1,69,13,417,FL-417 S,S,Freeway,0.992319205650000,7090_8283,0.000000000000000,7090,8283,S,2,45451,4,91,95000,45451,70,0,70.000000000000000,0.016107911091400
70,71,2,14,1,71,1,71,0,1,70,14,417,FL-417 S,S,Freeway,0.643379383497000,8484_8486,0.000000000000000,8484,8486,W,2,45451,4,417,49500,45451,70,0,70.000000000000000,0.010552096653400
71,72,2,15,1,72,1,72,0,1,71,15,417,FL-417 S,S,Freeway,0.685634410637000,6700_8484,0.000000000000000,6700,8484,W,2,65863,4,417,49500,45451,70,0,70.000000000000000,0.011255376309900
72,73,2,16,1,73,1,73,0,1,72,16,417,FL-417 S,S,Freeway,0.676983046993000,6323_6700,0.000000000000000,6323,6700,W,2,65863,4,417,49500,65863,70,0,70.000000000000000,0.011111146244100
73,74,2,17,1,74,1,74,0,1,73,17,417,FL-417 S,S,Freeway,0.400506023785000,6299_6323,0.000000000000000,6299,6323,W,2,65863,4,417,49500,65863,70,0,70.000000000000000,0.006573051475090
74,75,2,18,1,75,1,75,0,1,74,18,417,FL-417 S,S,Freeway,0.785772859603000,11015_8482,0.000000000000000,11015,8482,W,2,65863,4,417,47654,65863,70,0,70.000000000000000,0.012835521021000
75,76,2,19,1,76,1,76,0,1,75,19,417,FL-417 S,S,Freeway,0.233338325617000,8601_11015,0.000000000000000,8601,11015,W,2,65863,4,417,47654,65863,70,0,70.000000000000000,0.003810914659160
76,77,2,20,1,77,1,77,0,1,76,20,417,FL-417 S,S,Freeway,0.245238290843000,8482_6618,0.000000000000000,8482,6618,W,2,65863,4,417,47654,65863,70,0,70.000000000000000,0.004007760840260
77,78,2,21,1,78,1,78,0,1,77,21,417,FL-417 S,S,Freeway,0.568842641784000,8478_6486,0.000000000000000,8478,6486,W,2,65863,4,417,45500,65863,70,0,70.000000000000000,0.009181723827020
78,79,2,22,1,79,1,79,0,1,78,22,417,FL-417 S,S,Freeway,0.785759402068000,6618_6299,0.000000000000000,6618,6299,W,2,65863,4,417,49500,65863,70,0,70.000000000000000,0.012897060372100
79,80,2,23,1,80,1,80,0,1,79,23,417,FL-417 S,S,Freeway,0.549202126452000,6486_8601,0.000000000000000,6486,8601,W,2,65863,4,417,47654,65863,70,0,70.000000000000000,0.008907043416110
80,81,2,24,1,81,1,81,0,1,80,24,417,FL-417 S,S,Freeway,0.663497519079000,8603_8478,0.000000000000000,8603,8478,W,2,65863,4,417,45500,65863,70,0,70.000000000000000,0.010710192690500
81,82,2,25,1,82,1,82,0,1,81,25,417,FL-417 S,S,Freeway,0.843522453061000,6170_8603,0.000000000000000,6170,8603,W,2,65863,4,417,45500,65863,70,0,70.000000000000000,0.013606515494100
82,83,2,26,1,83,1,83,0,1,82,26,417,FL-417 S,S,Freeway,0.865634229147000,8596_8510,0.000000000000000,8596,8510,S,3,65863,4,15,35500,65863,70,0,70.000000000000000,0.013751320828800
83,84,2,27,1,84,1,84,0,1,83,27,417,FL-417 S,S,Freeway,0.341400832650000,8510_6855,0.000000000000000,8510,6855,W,2,65863,4,417,45500,65863,70,0,70.000000000000000,0.005206473545830
84,85,2,28,1,85,1,85,0,1,84,28,417,FL-417 S,S,Freeway,0.623191601603000,6855_6170,0.000000000000000,6855,6170,W,2,65863,4,417,45500,65863,70,0,70.000000000000000,0.009491511635520
85,86,2,29,1,86,1,86,0,1,85,29,417,FL-417 S,S,Freeway,0.306133055603000,8536_8514,0.000000000000000,8536,8514,S,2,65863,4,417,82000,65863,70,52,70.000000000000000,0.004451697030920
86,87,2,30,1,87,1,87,0,1,86,30,417,FL-417 S,S,Freeway,0.595046505856000,8516_8536,0.000000000000000,8516,8536,S,2,65863,4,417,82000,65863,70,68,70.000000000000000,0.008660377810750
87,88,2,31,1,88,1,88,0,1,87,31,417,FL-417 S,S,Freeway,0.353318402504000,8514_6174,0.000000000000000,8514,6174,S,2,65863,4,417,82000,65863,70,101,70.000000000000000,0.005213115763040
88,89,2,32,1,89,1,89,0,1,88,32,417,FL-417 S,S,Freeway,0.714851431899000,6174_8596,0.000000000000000,6174,8596,S,2,65863,4,417,82000,65863,70,0,70.000000000000000,0.011124147515100
89,90,2,33,1,90,1,90,0,1,89,33,417,FL-417 S,S,Freeway,0.389091424584000,8391_8516,0.000000000000000,8391,8516,S,2,65863,4,417,82000,65863,70,52,70.000000000000000,0.005662269122270
90,91,2,34,1,91,1,91,0,1,90,34,417,FL-417 S,S,Freeway,0.426543494120000,7999_8391,0.000000000000000,7999,8391,S,2,65863,4,417,83057,65863,70,53,70.000000000000000,0.006207647306410
91,92,2,35,1,92,1,92,0,1,91,35,417,FL-417 S,S,Freeway,1.160643430840000,7991_7999,0.000000000000000,7991,7999,E,2,65863,4,528,73393,65863,70,76,70.000000000000000,0.016878607023400
92,93,2,36,1,93,1,93,0,1,92,36,417,FL-417 S,S,Freeway,0.083042137338200,7092_7991,0.000000000000000,7092,7991,S,2,65863,4,417,83057,65863,70,52,70.000000000000000,0.001221688684350
93,94,2,37,1,94,1,94,0,1,93,37,417,FL-417 S,S,Freeway,0.410911915983000,8555_8559,0.000000000000000,8555,8559,S,2,65863,6,417,97034,65863,70,63,70.000000000000000,0.006086466515010
94,95,2,38,1,95,1,95,0,1,94,38,417,FL-417 S,S,Freeway,1.037899455230000,8559_6030,0.000000000000000,8559,6030,S,2,65863,6,417,97034,65863,70,63,70.000000000000000,0.015239944357700
95,96,2,39,1,96,1,96,0,1,95,39,417,FL-417 S,S,Freeway,1.128519735660000,8546_7092,0.000000000000000,8546,7092,S,2,65863,6,417,96500,65863,70,80,70.000000000000000,0.016736514905400
96,97,2,40,1,97,1,97,0,1,96,40,417,FL-417 S,S,Freeway,0.598281138529000,8383_8546,0.000000000000000,8383,8546,S,2,65863,6,417,96500,65863,70,51,70.000000000000000,0.008748998254360
97,98,2,41,1,98,1,98,0,1,97,41,417,FL-417 S,S,Freeway,0.245820660608000,6895_8383,0.000000000000000,6895,8383,S,2,65863,6,417,96500,65863,70,46,70.000000000000000,0.003593988653150
98,99,2,42,1,99,1,99,0,1,98,42,417,FL-417 S,S,Freeway,0.384461451754000,6316_6895,0.000000000000000,6316,6895,S,2,65863,6,417,96500,65863,70,46,70.000000000000000,0.005623481388430
99,100,2,43,1,100,1,100,0,1,99,43,417,FL-417 S,S,Freeway,0.204291489822000,6030_6316,0.000000000000000,6030,6316,S,2,65863,6,417,96500,65863,70,49,70.000000000000000,0.002974987218150
100,101,2,44,1,101,1,101,0,1,100,44,417,FL-417 S,S,Freeway,0.014265083999400,7071_11709,0.000000000000000,7071,11709,S,2,65863,4,417,97500,65863,70,0,70.000000000000000,0.000209860737761
101,102,2,45,1,102,1,102,0,1,101,45,417,FL-417 S,S,Freeway,0.715842621982000,7071_6968,0.000000000000000,7071,6968,S,2,65863,4,417,97500,65863,70,0,70.000000000000000,0.010413271232900
102,103,2,46,1,103,1,103,0,1,102,46,417,FL-417 S,S,Freeway,0.115234451698000,11875_6251,0.000000000000000,11875,6251,S,2,65863,6,417,69354,65863,70,0,70.000000000000000,0.001781725359590
103,104,2,47,1,104,1,104,0,1,103,47,417,FL-417 S,S,Freeway,1.050006821960000,6968_8555,0.000000000000000,6968,8555,S,2,65863,4,417,97500,65863,70,43,70.000000000000000,0.015279000597600
104,105,2,48,1,105,1,105,0,1,104,48,417,FL-417 S,S,Freeway,0.460695843984000,8568_11875,0.000000000000000,8568,11875,S,2,65863,6,417,69354,65863,65,64,65.000000000000000,0.007123939927970
105,106,2,49,1,106,1,106,0,1,105,49,417,FL-417 S,S,Freeway,0.526801969099000,8453_8568,0.000000000000000,8453,8568,S,2,65863,6,417,69354,65863,70,57,70.000000000000000,0.008114201248850
106,107,2,50,1,107,1,107,0,1,106,50,417,FL-417 S,S,Freeway,0.434654958051000,6251_11709,0.000000000000000,6251,11709,S,2,65863,4,417,97500,65863,70,0,70.000000000000000,0.006597289192380
107,108,2,51,1,108,1,108,0,1,107,51,417,FL-417 S,S,Freeway,0.314190599054000,8588_8118,0.000000000000000,8588,8118,S,2,65863,5,417,83459,65863,70,102,70.000000000000000,0.004589408473710
108,109,2,52,1,109,1,109,0,1,108,52,417,FL-417 S,S,Freeway,0.952765149993000,8572_8453,0.000000000000000,8572,8453,W,3,65863,6,50,56410,65863,70,54,70.000000000000000,0.013930287199700
109,110,2,53,1,110,1,110,0,1,109,53,417,FL-417 S,S,Freeway,0.319507970381000,8563_8572,0.000000000000000,8563,8572,S,2,65863,6,417,91500,65863,70,67,70.000000000000000,0.004672760972570
110,111,2,54,1,111,1,111,0,1,110,54,417,FL-417 S,S,Freeway,0.449856257685000,8456_6789,0.000000000000000,8456,6789,S,2,65863,4,417,91500,65863,70,52,70.000000000000000,0.006841259493090
111,112,2,55,1,112,1,112,0,1,111,55,417,FL-417 S,S,Freeway,0.344674752021000,8118_8456,0.000000000000000,8118,8456,S,2,65863,5,417,91500,65863,70,43,70.000000000000000,0.005207262719400
112,113,2,56,1,113,1,113,0,1,112,56,417,FL-417 S,S,Freeway,0.435234167071000,6691_8563,0.000000000000000,6691,8563,S,2,65863,6,417,91500,65863,70,46,70.000000000000000,0.006527507834360
113,114,2,57,1,114,1,114,0,1,113,57,417,FL-417 S,S,Freeway,0.342118847831000,6789_6691,0.000000000000000,6789,6691,S,2,65863,4,417,91500,65863,70,43,70.000000000000000,0.005204235030460
114,115,2,58,1,115,1,115,0,1,114,58,417,FL-417 S,S,Freeway,0.544818945526000,6052_8088,0.000000000000000,6052,8088,S,2,65863,5,417,78149,65863,70,39,70.000000000000000,0.008177586939680
115,116,2,59,1,116,1,116,0,1,115,59,417,FL-417 S,S,Freeway,0.079043963556300,8088_8565,0.000000000000000,8088,8565,S,2,65863,5,417,78149,65863,70,46,70.000000000000000,0.001207200560900
116,117,2,60,1,117,1,117,0,1,116,60,417,FL-417 S,S,Freeway,0.426625792594000,8565_8588,0.000000000000000,8565,8588,S,2,65863,5,417,83459,65863,70,37,70.000000000000000,0.006423783708000
117,118,2,2,1,118,1,118,0,1,117,2,429,FL-429 N,N,Freeway,0.823554797869000,9706_9710,0.000000000000000,9706,9710,N,2,65863,4,429,25600,65863,70,44,70.000000000000000,0.012066819333100
118,119,2,3,1,119,1,119,0,1,118,3,429,FL-429 N,N,Freeway,1.609530744520000,6244_9706,0.000000000000000,6244,9706,N,2,65863,4,429,25600,65863,70,90,70.000000000000000,0.023802057605100
119,120,2,4,1,120,1,120,0,1,119,4,429,FL-429 N,N,Freeway,0.373688779428000,9710_6236,0.000000000000000,9710,6236,N,2,65863,4,429,25600,65863,70,45,70.000000000000000,0.005679096198270
120,121,2,5,1,121,1,121,0,1,120,5,429,FL-429 N,N,Freeway,0.703296480051000,8048_8037,0.000000000000000,8048,8037,N,2,65863,4,429,25600,65863,70,76,70.000000000000000,0.010217490446300
121,122,2,6,1,122,1,122,0,1,121,6,429,FL-429 N,N,Freeway,0.773026993761000,8037_6764,0.000000000000000,8037,6764,N,2,65863,4,429,25600,65863,70,70,70.000000000000000,0.011624416961500
122,123,2,7,1,123,1,123,0,1,122,7,429,FL-429 N,N,Freeway,0.878892742994000,6236_8048,0.000000000000000,6236,8048,N,2,65863,4,429,25600,65863,70,79,70.000000000000000,0.013180830711600
123,124,2,8,1,124,1,124,0,1,123,8,429,FL-429 N,N,Freeway,0.644287386684000,6764_6763,0.000000000000000,6764,6763,N,2,65863,4,429,25600,65863,70,85,70.000000000000000,0.009804151847650
124,125,2,9,1,125,1,125,0,1,124,9,429,FL-429 N,N,Freeway,0.454262428776000,6763_6186,0.000000000000000,6763,6186,N,2,65863,4,429,25600,65863,70,84,70.000000000000000,0.006913219719830
